round,days,DELTA_Q_TARGET,DELTA_Q_EXTREME,DELTA_Q_ULTRA,final_pnl
2,"-1,0,1",20.0,68.0,72.0,62201.0
2,"-1,0,1",10.0,68.0,68.0,61274.0
2,"-1,0,1",12.0,64.0,76.0,61998.0
2,"-1,0,1",22.0,52.0,78.0,62561.0
2,"-1,0,1",12.0,52.0,74.0,61844.0
2,"-1,0,1",20.0,68.0,70.0,61834.0
2,"-1,0,1",16.0,60.0,72.0,61346.0
2,"-1,0,1",20.0,56.0,68.0,61809.0
2,"-1,0,1",22.0,64.0,78.0,62452.0
2,"-1,0,1",12.0,64.0,74.0,61866.0
2,"-1,0,1",22.0,52.0,76.0,62587.0
2,"-1,0,1",20.0,68.0,68.0,61702.0
2,"-1,0,1",16.0,60.0,70.0,61241.0
2,"-1,0,1",18.0,56.0,78.0,61928.0
2,"-1,0,1",22.0,64.0,76.0,62322.0
2,"-1,0,1",12.0,64.0,72.0,61609.0
2,"-1,0,1",22.0,52.0,74.0,62183.0
2,"-1,0,1",18.0,68.0,78.0,61783.0
2,"-1,0,1",16.0,60.0,68.0,61121.0
2,"-1,0,1",18.0,56.0,76.0,61980.0
2,"-1,0,1",22.0,64.0,74.0,62010.0
2,"-1,0,1",12.0,64.0,70.0,61667.0
2,"-1,0,1",22.0,52.0,72.0,62350.0
2,"-1,0,1",20.0,56.0,70.0,61955.0
2,"-1,0,1",18.0,68.0,76.0,62035.0
2,"-1,0,1",14.0,60.0,78.0,61549.0
2,"-1,0,1",18.0,56.0,74.0,61848.0
2,"-1,0,1",12.0,52.0,68.0,61457.0
2,"-1,0,1",22.0,64.0,72.0,62286.0
2,"-1,0,1",12.0,64.0,68.0,61415.0
2,"-1,0,1",22.0,52.0,70.0,61781.0
2,"-1,0,1",18.0,68.0,74.0,61787.0
2,"-1,0,1",14.0,60.0,76.0,61656.0
2,"-1,0,1",18.0,56.0,72.0,61775.0
2,"-1,0,1",16.0,52.0,72.0,61394.0
2,"-1,0,1",22.0,64.0,70.0,61723.0
2,"-1,0,1",10.0,64.0,78.0,61556.0
2,"-1,0,1",22.0,52.0,68.0,61631.0
2,"-1,0,1",14.0,52.0,72.0,61432.0
2,"-1,0,1",18.0,68.0,72.0,61705.0
2,"-1,0,1",14.0,60.0,74.0,61423.0
2,"-1,0,1",18.0,56.0,70.0,61755.0
2,"-1,0,1",22.0,64.0,68.0,61575.0
2,"-1,0,1",10.0,64.0,76.0,61704.0
2,"-1,0,1",20.0,52.0,78.0,62643.0
2,"-1,0,1",16.0,52.0,70.0,61293.0
2,"-1,0,1",18.0,68.0,70.0,61619.0
2,"-1,0,1",14.0,60.0,72.0,61455.0
2,"-1,0,1",18.0,56.0,68.0,61590.0
2,"-1,0,1",12.0,52.0,78.0,61933.0
2,"-1,0,1",20.0,64.0,78.0,62559.0
2,"-1,0,1",10.0,64.0,74.0,61323.0
2,"-1,0,1",20.0,52.0,76.0,62742.0
2,"-1,0,1",16.0,52.0,68.0,61204.0
2,"-1,0,1",18.0,68.0,68.0,61526.0
2,"-1,0,1",14.0,60.0,70.0,61362.0
2,"-1,0,1",16.0,56.0,78.0,61587.0
2,"-1,0,1",20.0,64.0,76.0,62465.0
2,"-1,0,1",10.0,64.0,72.0,61361.0
2,"-1,0,1",20.0,52.0,74.0,62362.0
2,"-1,0,1",16.0,68.0,78.0,61479.0
2,"-1,0,1",14.0,60.0,68.0,61290.0
2,"-1,0,1",16.0,56.0,76.0,61605.0
2,"-1,0,1",14.0,52.0,78.0,61585.0
2,"-1,0,1",20.0,64.0,74.0,62220.0
2,"-1,0,1",10.0,64.0,70.0,61378.0
2,"-1,0,1",20.0,52.0,72.0,62373.0
2,"-1,0,1",16.0,68.0,76.0,61680.0
2,"-1,0,1",12.0,60.0,78.0,61868.0
2,"-1,0,1",16.0,56.0,74.0,61508.0
2,"-1,0,1",12.0,52.0,76.0,62015.0
2,"-1,0,1",20.0,64.0,72.0,62227.0
2,"-1,0,1",10.0,64.0,68.0,61274.0
2,"-1,0,1",20.0,52.0,70.0,62041.0
2,"-1,0,1",16.0,68.0,74.0,61438.0
2,"-1,0,1",12.0,60.0,76.0,62026.0
2,"-1,0,1",16.0,56.0,72.0,61374.0
2,"-1,0,1",20.0,64.0,70.0,61836.0
2,"-1,0,1",22.0,60.0,78.0,62533.0
2,"-1,0,1",20.0,52.0,68.0,61853.0
2,"-1,0,1",10.0,52.0,68.0,61284.0
2,"-1,0,1",16.0,68.0,72.0,61318.0
2,"-1,0,1",12.0,60.0,74.0,61866.0
2,"-1,0,1",16.0,56.0,70.0,61273.0
2,"-1,0,1",20.0,64.0,68.0,61702.0
2,"-1,0,1",22.0,60.0,76.0,62523.0
2,"-1,0,1",18.0,52.0,78.0,61955.0
2,"-1,0,1",16.0,68.0,70.0,61261.0
2,"-1,0,1",12.0,60.0,72.0,61609.0
2,"-1,0,1",16.0,56.0,68.0,61188.0
2,"-1,0,1",18.0,64.0,78.0,61844.0
2,"-1,0,1",22.0,60.0,74.0,62103.0
2,"-1,0,1",18.0,52.0,76.0,61980.0
2,"-1,0,1",16.0,68.0,68.0,61105.0
2,"-1,0,1",12.0,60.0,70.0,61667.0
2,"-1,0,1",14.0,56.0,78.0,61558.0
2,"-1,0,1",18.0,64.0,76.0,62028.0
2,"-1,0,1",22.0,60.0,72.0,62294.0
2,"-1,0,1",18.0,52.0,74.0,61848.0
2,"-1,0,1",12.0,52.0,72.0,61684.0
2,"-1,0,1",14.0,68.0,78.0,61467.0
2,"-1,0,1",12.0,60.0,68.0,61415.0
2,"-1,0,1",14.0,56.0,76.0,61621.0
2,"-1,0,1",18.0,64.0,74.0,61845.0
2,"-1,0,1",22.0,60.0,70.0,61725.0
2,"-1,0,1",18.0,52.0,72.0,61795.0
2,"-1,0,1",14.0,68.0,76.0,61655.0
2,"-1,0,1",10.0,60.0,78.0,61556.0
2,"-1,0,1",14.0,56.0,74.0,61464.0
2,"-1,0,1",10.0,52.0,76.0,61686.0
2,"-1,0,1",18.0,64.0,72.0,61747.0
2,"-1,0,1",22.0,60.0,68.0,61587.0
2,"-1,0,1",14.0,68.0,74.0,61379.0
2,"-1,0,1",10.0,60.0,76.0,61704.0
2,"-1,0,1",14.0,56.0,72.0,61450.0
2,"-1,0,1",18.0,52.0,68.0,61606.0
