round,days,DELTA_Q_TARGET,DELTA_Q_EXTREME,DELTA_Q_ULTRA,final_pnl
2,"-1,0,1",23.0,53.0,78.0,62618.0
2,"-1,0,1",19.0,51.0,77.0,62428.0
2,"-1,0,1",18.0,46.0,75.0,61898.0
2,"-1,0,1",21.0,43.0,74.0,62488.0
2,"-1,0,1",18.0,42.0,80.0,62074.0
2,"-1,0,1",23.0,53.0,77.0,62626.0
2,"-1,0,1",19.0,51.0,76.0,62511.0
2,"-1,0,1",18.0,46.0,74.0,61871.0
2,"-1,0,1",20.0,43.0,80.0,62740.0
2,"-1,0,1",18.0,42.0,79.0,62074.0
2,"-1,0,1",23.0,53.0,76.0,62735.0
2,"-1,0,1",19.0,51.0,75.0,62133.0
2,"-1,0,1",24.0,45.0,80.0,62611.0
2,"-1,0,1",20.0,43.0,79.0,62740.0
2,"-1,0,1",18.0,42.0,78.0,62082.0
2,"-1,0,1",23.0,53.0,75.0,62357.0
2,"-1,0,1",19.0,51.0,74.0,62104.0
2,"-1,0,1",24.0,45.0,79.0,62569.0
2,"-1,0,1",20.0,43.0,78.0,62719.0
2,"-1,0,1",18.0,42.0,77.0,62100.0
2,"-1,0,1",18.0,40.0,80.0,62112.0
2,"-1,0,1",23.0,53.0,74.0,62285.0
2,"-1,0,1",18.0,51.0,80.0,61947.0
2,"-1,0,1",24.0,45.0,78.0,62581.0
2,"-1,0,1",20.0,43.0,77.0,62787.0
2,"-1,0,1",18.0,42.0,76.0,62125.0
2,"-1,0,1",22.0,53.0,80.0,62517.0
2,"-1,0,1",18.0,51.0,79.0,61947.0
2,"-1,0,1",24.0,45.0,77.0,62589.0
2,"-1,0,1",20.0,43.0,76.0,62840.0
2,"-1,0,1",20.0,40.0,74.0,62436.0
2,"-1,0,1",24.0,54.0,80.0,62596.0
2,"-1,0,1",18.0,42.0,75.0,61973.0
2,"-1,0,1",22.0,53.0,79.0,62517.0
2,"-1,0,1",18.0,51.0,78.0,61955.0
2,"-1,0,1",24.0,45.0,76.0,62696.0
2,"-1,0,1",20.0,43.0,75.0,62544.0
2,"-1,0,1",24.0,54.0,79.0,62509.0
2,"-1,0,1",18.0,42.0,74.0,61876.0
2,"-1,0,1",19.0,40.0,78.0,62510.0
2,"-1,0,1",22.0,53.0,78.0,62529.0
2,"-1,0,1",18.0,51.0,77.0,61976.0
2,"-1,0,1",24.0,45.0,75.0,62396.0
2,"-1,0,1",20.0,43.0,74.0,62461.0
2,"-1,0,1",24.0,54.0,78.0,62521.0
2,"-1,0,1",24.0,41.0,80.0,62622.0
2,"-1,0,1",22.0,53.0,77.0,62537.0
2,"-1,0,1",18.0,51.0,76.0,61980.0
2,"-1,0,1",24.0,45.0,74.0,62282.0
2,"-1,0,1",19.0,43.0,80.0,62636.0
2,"-1,0,1",24.0,54.0,77.0,62529.0
2,"-1,0,1",24.0,41.0,79.0,62592.0
2,"-1,0,1",22.0,53.0,76.0,62587.0
2,"-1,0,1",18.0,51.0,75.0,61828.0
2,"-1,0,1",23.0,45.0,80.0,62752.0
2,"-1,0,1",19.0,43.0,79.0,62609.0
2,"-1,0,1",24.0,54.0,76.0,62692.0
2,"-1,0,1",24.0,41.0,78.0,62592.0
2,"-1,0,1",19.0,40.0,77.0,62370.0
2,"-1,0,1",22.0,53.0,75.0,62247.0
2,"-1,0,1",18.0,51.0,74.0,61848.0
2,"-1,0,1",23.0,45.0,79.0,62710.0
2,"-1,0,1",19.0,43.0,78.0,62478.0
2,"-1,0,1",20.0,40.0,78.0,62799.0
2,"-1,0,1",24.0,54.0,75.0,62376.0
2,"-1,0,1",24.0,41.0,77.0,62576.0
2,"-1,0,1",22.0,53.0,74.0,62183.0
2,"-1,0,1",24.0,50.0,80.0,62628.0
2,"-1,0,1",23.0,45.0,78.0,62722.0
2,"-1,0,1",19.0,43.0,77.0,62456.0
2,"-1,0,1",24.0,54.0,74.0,62271.0
2,"-1,0,1",24.0,41.0,76.0,62544.0
2,"-1,0,1",21.0,53.0,80.0,62806.0
2,"-1,0,1",24.0,50.0,79.0,62541.0
2,"-1,0,1",23.0,45.0,77.0,62730.0
2,"-1,0,1",19.0,43.0,76.0,62609.0
2,"-1,0,1",23.0,54.0,80.0,62693.0
2,"-1,0,1",24.0,41.0,75.0,62496.0
2,"-1,0,1",21.0,53.0,79.0,62806.0
2,"-1,0,1",20.0,40.0,77.0,62701.0
2,"-1,0,1",24.0,50.0,78.0,62553.0
2,"-1,0,1",23.0,45.0,76.0,62739.0
2,"-1,0,1",19.0,43.0,75.0,62203.0
2,"-1,0,1",23.0,54.0,79.0,62606.0
2,"-1,0,1",24.0,41.0,74.0,62382.0
2,"-1,0,1",21.0,53.0,78.0,62785.0
2,"-1,0,1",24.0,50.0,77.0,62561.0
2,"-1,0,1",23.0,45.0,75.0,62421.0
2,"-1,0,1",19.0,43.0,74.0,62135.0
2,"-1,0,1",23.0,54.0,78.0,62618.0
2,"-1,0,1",23.0,41.0,80.0,62787.0
2,"-1,0,1",21.0,53.0,77.0,62793.0
2,"-1,0,1",24.0,50.0,76.0,62692.0
2,"-1,0,1",23.0,45.0,74.0,62340.0
2,"-1,0,1",18.0,43.0,80.0,62058.0
2,"-1,0,1",23.0,54.0,77.0,62626.0
2,"-1,0,1",23.0,41.0,79.0,62757.0
2,"-1,0,1",21.0,53.0,76.0,62805.0
2,"-1,0,1",24.0,50.0,75.0,62376.0
2,"-1,0,1",22.0,45.0,80.0,62605.0
2,"-1,0,1",18.0,43.0,79.0,62058.0
2,"-1,0,1",23.0,54.0,76.0,62735.0
2,"-1,0,1",23.0,41.0,78.0,62757.0
2,"-1,0,1",21.0,53.0,75.0,62429.0
2,"-1,0,1",24.0,50.0,74.0,62271.0
2,"-1,0,1",18.0,40.0,79.0,61954.0
2,"-1,0,1",22.0,45.0,79.0,62605.0
2,"-1,0,1",18.0,43.0,78.0,62066.0
2,"-1,0,1",23.0,54.0,75.0,62357.0
2,"-1,0,1",23.0,41.0,77.0,62741.0
2,"-1,0,1",21.0,53.0,74.0,62389.0
2,"-1,0,1",23.0,50.0,80.0,62769.0
2,"-1,0,1",22.0,45.0,78.0,62617.0
2,"-1,0,1",18.0,43.0,77.0,62084.0
2,"-1,0,1",23.0,54.0,74.0,62285.0
2,"-1,0,1",23.0,41.0,76.0,62709.0
2,"-1,0,1",20.0,53.0,80.0,62680.0
2,"-1,0,1",23.0,50.0,79.0,62682.0
2,"-1,0,1",22.0,45.0,77.0,62625.0
2,"-1,0,1",18.0,43.0,76.0,62125.0
2,"-1,0,1",22.0,54.0,80.0,62517.0
2,"-1,0,1",23.0,41.0,75.0,62545.0
2,"-1,0,1",20.0,53.0,79.0,62664.0
2,"-1,0,1",23.0,50.0,78.0,62694.0
2,"-1,0,1",22.0,45.0,76.0,62611.0
2,"-1,0,1",18.0,43.0,75.0,61973.0
