
[   1/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 78.000 PnL=   62618.0 ETA=349909.3s
[   2/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 51.000 DELTA_Q_ULTRA= 77.000 PnL=   62428.0 ETA=174716.4s
[   3/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 46.000 DELTA_Q_ULTRA= 75.000 PnL=   61898.0 ETA=116318.7s
[   4/735] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 74.000 PnL=   62488.0 ETA=87119.8s
[   5/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 80.000 PnL=   62074.0 ETA=69600.5s
[   6/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 77.000 PnL=   62626.0 ETA=57921.0s
[   7/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 51.000 DELTA_Q_ULTRA= 76.000 PnL=   62511.0 ETA=49578.5s
[   8/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 46.000 DELTA_Q_ULTRA= 74.000 PnL=   61871.0 ETA=43321.6s
[   9/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 80.000 PnL=   62740.0 ETA=38455.1s
[  10/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 79.000 PnL=   62074.0 ETA=34561.9s
[  11/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 76.000 PnL=   62735.0 ETA=31376.6s
[  12/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 51.000 DELTA_Q_ULTRA= 75.000 PnL=   62133.0 ETA=28722.1s
[  13/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 80.000 PnL=   62611.0 ETA=26476.1s
[  14/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 79.000 PnL=   62740.0 ETA=24550.9s
[  15/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 78.000 PnL=   62082.0 ETA=22882.4s
[  16/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 75.000 PnL=   62357.0 ETA=21422.4s
[  17/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 51.000 DELTA_Q_ULTRA= 74.000 PnL=   62104.0 ETA=20134.2s
[  18/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 79.000 PnL=   62569.0 ETA=18989.2s
[  19/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 78.000 PnL=   62719.0 ETA=17964.7s
[  20/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 77.000 PnL=   62100.0 ETA=17042.6s
[  21/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 40.000 DELTA_Q_ULTRA= 80.000 PnL=   62112.0 ETA=16208.3s
[  22/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 74.000 PnL=   62285.0 ETA=15449.9s
[  23/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 51.000 DELTA_Q_ULTRA= 80.000 PnL=   61947.0 ETA=14757.5s
[  24/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 78.000 PnL=   62581.0 ETA=14122.7s
[  25/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 77.000 PnL=   62787.0 ETA=13538.7s
[  26/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 76.000 PnL=   62125.0 ETA=12999.7s
[  27/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 80.000 PnL=   62517.0 ETA=12500.6s
[  28/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 51.000 DELTA_Q_ULTRA= 79.000 PnL=   61947.0 ETA=12037.1s
[  29/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 77.000 PnL=   62589.0 ETA=11605.6s
[  30/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 76.000 PnL=   62840.0 ETA=11202.8s
[  31/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 40.000 DELTA_Q_ULTRA= 74.000 PnL=   62436.0 ETA=10826.1s
[  32/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 80.000 PnL=   62596.0 ETA=10472.9s
[  33/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 75.000 PnL=   61973.0 ETA=10141.1s
[  34/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 79.000 PnL=   62517.0 ETA= 9828.8s
[  35/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 51.000 DELTA_Q_ULTRA= 78.000 PnL=   61955.0 ETA= 9534.3s
[  36/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 76.000 PnL=   62696.0 ETA= 9256.2s
[  37/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 75.000 PnL=   62544.0 ETA= 8993.2s
[  38/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 79.000 PnL=   62509.0 ETA= 8744.0s
[  39/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 74.000 PnL=   61876.0 ETA= 8507.6s
[  40/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 40.000 DELTA_Q_ULTRA= 78.000 PnL=   62510.0 ETA= 8282.9s
[  41/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 78.000 PnL=   62529.0 ETA= 8069.3s
[  42/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 51.000 DELTA_Q_ULTRA= 77.000 PnL=   61976.0 ETA= 7865.8s
[  43/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 75.000 PnL=   62396.0 ETA= 7671.8s
[  44/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 74.000 PnL=   62461.0 ETA= 7486.6s
[  45/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 78.000 PnL=   62521.0 ETA= 7309.6s
[  46/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 80.000 PnL=   62622.0 ETA= 7140.4s
[  47/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 77.000 PnL=   62537.0 ETA= 6978.3s
[  48/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 51.000 DELTA_Q_ULTRA= 76.000 PnL=   61980.0 ETA= 6823.0s
[  49/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 74.000 PnL=   62282.0 ETA= 6674.0s
[  50/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 80.000 PnL=   62636.0 ETA= 6531.0s
[  51/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 77.000 PnL=   62529.0 ETA= 6393.6s
[  52/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 79.000 PnL=   62592.0 ETA= 6261.5s
[  53/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 76.000 PnL=   62587.0 ETA= 6134.3s
[  54/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 51.000 DELTA_Q_ULTRA= 75.000 PnL=   61828.0 ETA= 6011.9s
[  55/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 80.000 PnL=   62752.0 ETA= 5893.9s
[  56/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 79.000 PnL=   62609.0 ETA= 5780.2s
[  57/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 76.000 PnL=   62692.0 ETA= 5670.4s
[  58/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 78.000 PnL=   62592.0 ETA= 5564.4s
[  59/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 40.000 DELTA_Q_ULTRA= 77.000 PnL=   62370.0 ETA= 5462.0s
[  60/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 75.000 PnL=   62247.0 ETA= 5363.1s
[  61/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 51.000 DELTA_Q_ULTRA= 74.000 PnL=   61848.0 ETA= 5267.3s
[  62/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 79.000 PnL=   62710.0 ETA= 5174.7s
[  63/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 78.000 PnL=   62478.0 ETA= 5085.0s
[  64/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 40.000 DELTA_Q_ULTRA= 78.000 PnL=   62799.0 ETA= 4998.1s
[  65/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 75.000 PnL=   62376.0 ETA= 4913.8s
