round,days,DELTA_Q_TARGET,DELTA_Q_EXTREME,DELTA_Q_ULTRA,final_pnl
2,"-1,0,1",18.0,38.0,74.0,61762.0
2,"-1,0,1",20.0,35.0,80.0,62824.0
2,"-1,0,1",20.0,39.0,74.0,62436.0
2,"-1,0,1",24.0,37.0,80.0,62582.0
2,"-1,0,1",20.0,35.0,79.0,62824.0
2,"-1,0,1",23.0,32.0,79.0,62717.0
2,"-1,0,1",19.0,39.0,80.0,62668.0
2,"-1,0,1",24.0,37.0,79.0,62552.0
2,"-1,0,1",20.0,35.0,78.0,62799.0
2,"-1,0,1",19.0,39.0,79.0,62510.0
2,"-1,0,1",24.0,37.0,78.0,62496.0
2,"-1,0,1",20.0,35.0,77.0,62701.0
2,"-1,0,1",19.0,39.0,78.0,62510.0
2,"-1,0,1",24.0,37.0,77.0,62562.0
2,"-1,0,1",20.0,35.0,76.0,62705.0
2,"-1,0,1",19.0,39.0,77.0,62370.0
2,"-1,0,1",24.0,37.0,76.0,62562.0
2,"-1,0,1",20.0,35.0,75.0,62563.0
2,"-1,0,1",19.0,39.0,76.0,62374.0
2,"-1,0,1",24.0,37.0,75.0,62514.0
2,"-1,0,1",20.0,35.0,74.0,62436.0
2,"-1,0,1",23.0,32.0,78.0,62617.0
2,"-1,0,1",19.0,39.0,75.0,62222.0
2,"-1,0,1",24.0,37.0,74.0,62400.0
2,"-1,0,1",19.0,35.0,80.0,62668.0
2,"-1,0,1",23.0,32.0,77.0,62727.0
2,"-1,0,1",19.0,39.0,74.0,62110.0
2,"-1,0,1",23.0,37.0,80.0,62747.0
2,"-1,0,1",19.0,35.0,79.0,62510.0
2,"-1,0,1",23.0,32.0,76.0,62727.0
2,"-1,0,1",18.0,39.0,80.0,62112.0
2,"-1,0,1",23.0,37.0,79.0,62717.0
2,"-1,0,1",19.0,35.0,78.0,62510.0
2,"-1,0,1",23.0,32.0,75.0,62563.0
2,"-1,0,1",18.0,39.0,79.0,61954.0
2,"-1,0,1",24.0,42.0,80.0,62611.0
2,"-1,0,1",23.0,37.0,78.0,62617.0
2,"-1,0,1",19.0,35.0,77.0,62370.0
2,"-1,0,1",23.0,32.0,74.0,62482.0
2,"-1,0,1",18.0,39.0,78.0,61954.0
2,"-1,0,1",24.0,42.0,79.0,62569.0
2,"-1,0,1",23.0,37.0,77.0,62727.0
2,"-1,0,1",19.0,35.0,76.0,62374.0
2,"-1,0,1",22.0,32.0,80.0,62688.0
2,"-1,0,1",18.0,39.0,77.0,61844.0
2,"-1,0,1",24.0,42.0,78.0,62581.0
2,"-1,0,1",23.0,37.0,76.0,62727.0
2,"-1,0,1",19.0,35.0,75.0,62222.0
2,"-1,0,1",22.0,32.0,79.0,62688.0
2,"-1,0,1",18.0,39.0,76.0,62011.0
2,"-1,0,1",24.0,42.0,77.0,62589.0
2,"-1,0,1",23.0,37.0,75.0,62563.0
2,"-1,0,1",19.0,35.0,74.0,62110.0
2,"-1,0,1",22.0,32.0,78.0,62662.0
2,"-1,0,1",18.0,39.0,75.0,61859.0
2,"-1,0,1",24.0,42.0,76.0,62720.0
2,"-1,0,1",23.0,37.0,74.0,62482.0
2,"-1,0,1",18.0,35.0,80.0,62112.0
2,"-1,0,1",22.0,32.0,77.0,62565.0
2,"-1,0,1",18.0,39.0,74.0,61762.0
2,"-1,0,1",24.0,42.0,75.0,62396.0
2,"-1,0,1",22.0,37.0,80.0,62688.0
2,"-1,0,1",19.0,32.0,80.0,62633.0
2,"-1,0,1",18.0,35.0,79.0,61954.0
2,"-1,0,1",22.0,32.0,76.0,62518.0
2,"-1,0,1",24.0,38.0,80.0,62582.0
2,"-1,0,1",24.0,42.0,74.0,62282.0
2,"-1,0,1",22.0,37.0,79.0,62688.0
