
[   1/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 38.000 DELTA_Q_ULTRA= 74.000 PnL=   61762.0 ETA=218696.3s
[   2/539] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 80.000 PnL=   62824.0 ETA=109144.9s
[   3/539] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 74.000 PnL=   62436.0 ETA=72627.8s
[   4/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 80.000 PnL=   62582.0 ETA=54369.2s
[   5/539] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 79.000 PnL=   62824.0 ETA=43414.1s
[   6/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 79.000 PnL=   62717.0 ETA=36110.7s
[   7/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 80.000 PnL=   62668.0 ETA=30893.9s
[   8/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 79.000 PnL=   62552.0 ETA=26981.4s
[   9/539] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 78.000 PnL=   62799.0 ETA=23938.3s
[  10/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 79.000 PnL=   62510.0 ETA=21503.8s
[  11/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 78.000 PnL=   62496.0 ETA=19511.9s
[  12/539] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 77.000 PnL=   62701.0 ETA=17852.1s
[  13/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 78.000 PnL=   62510.0 ETA=16447.6s
[  14/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 77.000 PnL=   62562.0 ETA=15243.7s
[  15/539] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 76.000 PnL=   62705.0 ETA=14200.4s
[  16/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 77.000 PnL=   62370.0 ETA=13287.4s
[  17/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 76.000 PnL=   62562.0 ETA=12481.9s
[  18/539] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 75.000 PnL=   62563.0 ETA=11765.9s
[  19/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 76.000 PnL=   62374.0 ETA=11125.2s
[  20/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 75.000 PnL=   62514.0 ETA=10548.7s
[  21/539] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 74.000 PnL=   62436.0 ETA=10027.0s
[  22/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 78.000 PnL=   62617.0 ETA= 9552.7s
[  23/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 75.000 PnL=   62222.0 ETA= 9119.7s
[  24/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 74.000 PnL=   62400.0 ETA= 8722.8s
[  25/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 80.000 PnL=   62668.0 ETA= 8357.6s
[  26/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 77.000 PnL=   62727.0 ETA= 8020.5s
[  27/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 74.000 PnL=   62110.0 ETA= 7708.4s
[  28/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 80.000 PnL=   62747.0 ETA= 7418.6s
[  29/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 79.000 PnL=   62510.0 ETA= 7148.8s
[  30/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 76.000 PnL=   62727.0 ETA= 6896.9s
[  31/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 80.000 PnL=   62112.0 ETA= 6661.3s
[  32/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 79.000 PnL=   62717.0 ETA= 6440.5s
[  33/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 78.000 PnL=   62510.0 ETA= 6233.0s
[  34/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 75.000 PnL=   62563.0 ETA= 6037.7s
[  35/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 79.000 PnL=   61954.0 ETA= 5853.6s
[  36/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 80.000 PnL=   62611.0 ETA= 5679.7s
[  37/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 78.000 PnL=   62617.0 ETA= 5515.2s
[  38/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 77.000 PnL=   62370.0 ETA= 5359.4s
[  39/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 74.000 PnL=   62482.0 ETA= 5211.5s
[  40/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 78.000 PnL=   61954.0 ETA= 5071.1s
[  41/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 79.000 PnL=   62569.0 ETA= 4937.5s
[  42/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 77.000 PnL=   62727.0 ETA= 4810.2s
[  43/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 76.000 PnL=   62374.0 ETA= 4688.9s
[  44/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 80.000 PnL=   62688.0 ETA= 4573.1s
[  45/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 77.000 PnL=   61844.0 ETA= 4462.5s
[  46/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 78.000 PnL=   62581.0 ETA= 4356.6s
[  47/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 76.000 PnL=   62727.0 ETA= 4255.3s
[  48/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 75.000 PnL=   62222.0 ETA= 4158.1s
[  49/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 79.000 PnL=   62688.0 ETA= 4065.0s
[  50/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 76.000 PnL=   62011.0 ETA= 3975.6s
[  51/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 77.000 PnL=   62589.0 ETA= 3889.6s
[  52/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 75.000 PnL=   62563.0 ETA= 3807.0s
[  53/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 74.000 PnL=   62110.0 ETA= 3727.5s
[  54/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 78.000 PnL=   62662.0 ETA= 3651.0s
[  55/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 75.000 PnL=   61859.0 ETA= 3577.2s
[  56/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 76.000 PnL=   62720.0 ETA= 3506.1s
[  57/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 74.000 PnL=   62482.0 ETA= 3437.4s
[  58/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 80.000 PnL=   62112.0 ETA= 3371.1s
[  59/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 77.000 PnL=   62565.0 ETA= 3307.1s
[  60/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 74.000 PnL=   61762.0 ETA= 3245.2s
[  61/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 75.000 PnL=   62396.0 ETA= 3185.4s
[  62/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 80.000 PnL=   62688.0 ETA= 3127.4s
