round,days,K,K_take,K_quote,final_pnl
2,"-1,0,1",7.0,5.5,6.0,57414.0
2,"-1,0,1",7.0,3.0,6.0,57921.0
2,"-1,0,1",7.0,2.5,6.0,57921.0
2,"-1,0,1",7.0,2.0,6.0,57921.0
2,"-1,0,1",7.0,3.5,6.0,57655.0
2,"-1,0,1",7.0,4.0,6.0,57655.0
2,"-1,0,1",7.0,5.0,6.0,57685.0
2,"-1,0,1",7.0,4.5,6.0,57685.0
2,"-1,0,1",7.0,6.0,6.0,57414.0
2,"-1,0,1",7.5,3.0,6.0,58127.0
2,"-1,0,1",7.5,4.0,6.0,57797.0
2,"-1,0,1",7.5,2.0,6.0,58127.0
2,"-1,0,1",7.5,3.5,6.0,57797.0
2,"-1,0,1",7.5,4.5,6.0,57798.0
2,"-1,0,1",7.5,2.5,6.0,58127.0
2,"-1,0,1",7.5,5.0,6.0,57798.0
2,"-1,0,1",7.5,5.5,6.0,57529.0
2,"-1,0,1",7.5,6.0,6.0,57529.0
2,"-1,0,1",8.0,2.0,6.0,58226.0
2,"-1,0,1",8.0,3.5,6.0,57886.0
2,"-1,0,1",8.0,4.5,6.0,57843.0
2,"-1,0,1",8.0,2.5,6.0,58226.0
2,"-1,0,1",8.0,3.0,6.0,58226.0
2,"-1,0,1",8.0,4.0,6.0,57886.0
2,"-1,0,1",8.0,5.0,6.0,57843.0
2,"-1,0,1",8.0,5.5,6.0,57605.0
2,"-1,0,1",8.5,2.0,6.0,58193.0
2,"-1,0,1",8.5,4.0,6.0,57863.0
2,"-1,0,1",8.0,6.0,6.0,57605.0
2,"-1,0,1",8.5,2.5,6.0,58193.0
2,"-1,0,1",8.5,3.0,6.0,58193.0
2,"-1,0,1",8.5,3.5,6.0,57863.0
2,"-1,0,1",8.5,4.5,6.0,57872.0
2,"-1,0,1",8.5,5.0,6.0,57872.0
2,"-1,0,1",8.5,5.5,6.0,57602.0
2,"-1,0,1",9.0,2.0,6.0,58095.0
2,"-1,0,1",9.0,2.5,6.0,58095.0
2,"-1,0,1",8.5,6.0,6.0,57602.0
2,"-1,0,1",9.0,3.0,6.0,58095.0
2,"-1,0,1",9.0,3.5,6.0,57862.0
2,"-1,0,1",9.0,4.0,6.0,57862.0
2,"-1,0,1",9.0,4.5,6.0,57827.0
2,"-1,0,1",9.0,5.0,6.0,57827.0
2,"-1,0,1",9.0,5.5,6.0,57556.0
2,"-1,0,1",9.5,2.0,6.0,58027.0
2,"-1,0,1",9.0,6.0,6.0,57556.0
2,"-1,0,1",9.5,2.5,6.0,58027.0
2,"-1,0,1",9.5,3.0,6.0,58027.0
2,"-1,0,1",9.5,3.5,6.0,57819.0
2,"-1,0,1",9.5,4.5,6.0,57741.0
2,"-1,0,1",9.5,4.0,6.0,57819.0
2,"-1,0,1",9.5,5.0,6.0,57741.0
2,"-1,0,1",9.5,5.5,6.0,57527.0
2,"-1,0,1",9.5,6.0,6.0,57527.0
2,"-1,0,1",10.0,2.0,6.0,57899.0
2,"-1,0,1",10.0,2.5,6.0,57899.0
2,"-1,0,1",10.0,3.0,6.0,57899.0
2,"-1,0,1",10.0,3.5,6.0,57799.0
2,"-1,0,1",10.0,4.0,6.0,57799.0
2,"-1,0,1",10.0,4.5,6.0,57696.0
2,"-1,0,1",10.0,5.0,6.0,57696.0
2,"-1,0,1",10.0,5.5,6.0,57505.0
2,"-1,0,1",10.0,6.0,6.0,57505.0
2,"-1,0,1",7.0,2.0,6.5,58719.0
2,"-1,0,1",7.0,2.5,6.5,58719.0
2,"-1,0,1",7.0,3.0,6.5,58719.0
2,"-1,0,1",7.0,3.5,6.5,58416.0
2,"-1,0,1",7.0,4.0,6.5,58416.0
2,"-1,0,1",7.0,4.5,6.5,58411.0
2,"-1,0,1",7.0,5.0,6.5,58411.0
2,"-1,0,1",7.0,5.5,6.5,58198.0
2,"-1,0,1",7.0,6.0,6.5,58198.0
2,"-1,0,1",7.5,2.0,6.5,58885.0
2,"-1,0,1",7.5,2.5,6.5,58885.0
2,"-1,0,1",7.5,3.0,6.5,58885.0
2,"-1,0,1",7.5,3.5,6.5,58553.0
2,"-1,0,1",7.5,4.0,6.5,58553.0
2,"-1,0,1",7.5,4.5,6.5,58542.0
2,"-1,0,1",7.5,5.0,6.5,58542.0
2,"-1,0,1",7.5,5.5,6.5,58335.0
2,"-1,0,1",7.5,6.0,6.5,58335.0
2,"-1,0,1",8.0,2.0,6.5,58930.0
2,"-1,0,1",8.0,2.5,6.5,58930.0
2,"-1,0,1",8.0,3.0,6.5,58930.0
2,"-1,0,1",8.0,3.5,6.5,58612.0
2,"-1,0,1",8.0,4.0,6.5,58612.0
2,"-1,0,1",8.0,4.5,6.5,58593.0
2,"-1,0,1",8.0,5.0,6.5,58593.0
2,"-1,0,1",8.0,5.5,6.5,58379.0
2,"-1,0,1",8.0,6.0,6.5,58379.0
2,"-1,0,1",8.5,2.0,6.5,58867.0
2,"-1,0,1",8.5,3.0,6.5,58867.0
2,"-1,0,1",8.5,3.5,6.5,58588.0
2,"-1,0,1",8.5,2.5,6.5,58867.0
2,"-1,0,1",8.5,4.0,6.5,58588.0
2,"-1,0,1",8.5,4.5,6.5,58579.0
2,"-1,0,1",8.5,5.0,6.5,58579.0
2,"-1,0,1",8.5,5.5,6.5,58372.0
2,"-1,0,1",8.5,6.0,6.5,58372.0
2,"-1,0,1",9.0,2.0,6.5,58753.0
2,"-1,0,1",9.0,2.5,6.5,58753.0
2,"-1,0,1",9.0,3.0,6.5,58753.0
2,"-1,0,1",9.0,3.5,6.5,58599.0
2,"-1,0,1",9.0,4.0,6.5,58599.0
2,"-1,0,1",9.0,4.5,6.5,58530.0
2,"-1,0,1",9.0,5.0,6.5,58530.0
2,"-1,0,1",9.0,5.5,6.5,58363.0
2,"-1,0,1",9.0,6.0,6.5,58363.0
2,"-1,0,1",9.5,2.0,6.5,58665.0
