round,days,K,K_take,K_quote,final_pnl
2,"-1,0,1",7.5,2.0,8.0,59503.0
2,"-1,0,1",8.0,3.0,8.0,59510.0
2,"-1,0,1",7.5,2.5,8.0,59503.0
2,"-1,0,1",7.5,3.0,8.0,59503.0
2,"-1,0,1",8.0,2.0,8.0,59510.0
2,"-1,0,1",8.0,1.5,8.0,59510.0
2,"-1,0,1",8.0,2.5,8.0,59510.0
2,"-1,0,1",7.5,1.5,8.0,59503.0
2,"-1,0,1",8.5,1.5,8.0,59469.0
2,"-1,0,1",8.5,3.0,8.0,59469.0
2,"-1,0,1",7.5,1.5,8.5,59633.0
2,"-1,0,1",8.5,2.5,8.0,59469.0
2,"-1,0,1",8.5,2.0,8.0,59469.0
2,"-1,0,1",7.5,3.0,8.5,59633.0
2,"-1,0,1",7.5,2.5,8.5,59633.0
2,"-1,0,1",7.5,2.0,8.5,59633.0
2,"-1,0,1",8.0,1.5,8.5,59640.0
2,"-1,0,1",8.0,2.0,8.5,59640.0
2,"-1,0,1",8.0,2.5,8.5,59640.0
2,"-1,0,1",8.0,3.0,8.5,59640.0
2,"-1,0,1",8.5,3.0,8.5,59601.0
2,"-1,0,1",8.5,2.0,8.5,59601.0
2,"-1,0,1",8.5,2.5,8.5,59601.0
2,"-1,0,1",8.5,1.5,8.5,59601.0
2,"-1,0,1",7.5,1.5,9.0,59633.0
2,"-1,0,1",7.5,2.0,9.0,59633.0
2,"-1,0,1",7.5,2.5,9.0,59633.0
2,"-1,0,1",7.5,3.0,9.0,59633.0
2,"-1,0,1",8.0,2.0,9.0,59640.0
2,"-1,0,1",8.0,1.5,9.0,59640.0
2,"-1,0,1",8.0,3.0,9.0,59640.0
2,"-1,0,1",8.0,2.5,9.0,59640.0
2,"-1,0,1",8.5,1.5,9.0,59601.0
2,"-1,0,1",8.5,2.5,9.0,59601.0
2,"-1,0,1",8.5,2.0,9.0,59601.0
2,"-1,0,1",8.5,3.0,9.0,59601.0
2,"-1,0,1",7.5,1.5,9.5,59633.0
2,"-1,0,1",7.5,2.5,9.5,59633.0
2,"-1,0,1",7.5,2.0,9.5,59633.0
2,"-1,0,1",7.5,3.0,9.5,59633.0
2,"-1,0,1",8.0,1.5,9.5,59640.0
2,"-1,0,1",8.0,2.0,9.5,59640.0
2,"-1,0,1",8.0,2.5,9.5,59640.0
2,"-1,0,1",8.0,3.0,9.5,59640.0
2,"-1,0,1",8.5,1.5,9.5,59601.0
2,"-1,0,1",8.5,3.0,9.5,59601.0
2,"-1,0,1",8.5,2.5,9.5,59601.0
2,"-1,0,1",8.5,2.0,9.5,59601.0
