round,days,K,K_QUOTE,final_pnl
2,"-1,0,1",9.0,7.0,58152.0
2,"-1,0,1",5.0,7.0,57342.0
2,"-1,0,1",10.0,7.0,58306.0
2,"-1,0,1",6.0,7.0,57679.0
2,"-1,0,1",4.0,8.0,56866.0
2,"-1,0,1",4.0,7.0,56417.0
2,"-1,0,1",7.0,7.0,58315.0
2,"-1,0,1",8.0,7.0,58238.0
2,"-1,0,1",5.0,8.0,57833.0
2,"-1,0,1",8.0,8.0,58597.0
2,"-1,0,1",6.0,8.0,58135.0
2,"-1,0,1",9.0,8.0,58513.0
2,"-1,0,1",10.0,8.0,58684.0
2,"-1,0,1",7.0,8.0,58804.0
2,"-1,0,1",4.0,9.0,57039.0
2,"-1,0,1",5.0,9.0,58000.0
2,"-1,0,1",6.0,9.0,58272.0
2,"-1,0,1",6.0,10.0,58272.0
2,"-1,0,1",4.0,10.0,57039.0
2,"-1,0,1",7.0,9.0,58929.0
2,"-1,0,1",10.0,9.0,58823.0
2,"-1,0,1",9.0,9.0,58640.0
2,"-1,0,1",5.0,10.0,58000.0
2,"-1,0,1",8.0,9.0,58722.0
2,"-1,0,1",7.0,10.0,58929.0
2,"-1,0,1",4.0,11.0,57039.0
2,"-1,0,1",10.0,10.0,58823.0
2,"-1,0,1",6.0,11.0,58272.0
2,"-1,0,1",7.0,11.0,58929.0
2,"-1,0,1",9.0,10.0,58640.0
2,"-1,0,1",5.0,11.0,58000.0
2,"-1,0,1",8.0,10.0,58722.0
2,"-1,0,1",8.0,11.0,58722.0
2,"-1,0,1",9.0,11.0,58640.0
2,"-1,0,1",10.0,11.0,58823.0
2,"-1,0,1",4.0,12.0,57039.0
2,"-1,0,1",5.0,12.0,58000.0
2,"-1,0,1",7.0,12.0,58929.0
2,"-1,0,1",8.0,12.0,58722.0
2,"-1,0,1",6.0,12.0,58272.0
2,"-1,0,1",9.0,12.0,58640.0
2,"-1,0,1",10.0,12.0,58823.0
2,"-1,0,1",4.0,13.0,57039.0
2,"-1,0,1",6.0,13.0,58272.0
2,"-1,0,1",5.0,13.0,58000.0
2,"-1,0,1",7.0,13.0,58929.0
2,"-1,0,1",9.0,13.0,58640.0
2,"-1,0,1",8.0,13.0,58722.0
2,"-1,0,1",10.0,13.0,58823.0
