round,days,K,K_QUOTE,final_pnl
2,"-1,0,1",6.5,8.5,58655.0
2,"-1,0,1",8.0,8.5,58722.0
2,"-1,0,1",7.25,8.5,58767.0
2,"-1,0,1",6.75,8.5,58808.0
2,"-1,0,1",8.25,8.5,58711.0
2,"-1,0,1",7.5,8.5,58784.0
2,"-1,0,1",7.75,8.5,58762.0
2,"-1,0,1",7.0,8.5,58929.0
2,"-1,0,1",9.5,8.5,58812.0
2,"-1,0,1",9.25,8.5,58811.0
2,"-1,0,1",9.0,8.5,58640.0
2,"-1,0,1",8.5,8.5,58672.0
2,"-1,0,1",6.75,8.75,58808.0
2,"-1,0,1",8.75,8.5,58651.0
2,"-1,0,1",6.5,8.75,58655.0
2,"-1,0,1",7.0,8.75,58929.0
2,"-1,0,1",7.25,8.75,58767.0
2,"-1,0,1",7.5,8.75,58784.0
2,"-1,0,1",7.75,8.75,58762.0
2,"-1,0,1",8.25,8.75,58711.0
2,"-1,0,1",9.0,8.75,58640.0
2,"-1,0,1",8.0,8.75,58722.0
2,"-1,0,1",8.5,8.75,58672.0
2,"-1,0,1",8.75,8.75,58651.0
2,"-1,0,1",9.25,8.75,58811.0
2,"-1,0,1",9.5,8.75,58812.0
2,"-1,0,1",6.5,9.0,58655.0
2,"-1,0,1",7.75,9.0,58762.0
2,"-1,0,1",7.25,9.0,58767.0
2,"-1,0,1",7.5,9.0,58784.0
2,"-1,0,1",7.0,9.0,58929.0
2,"-1,0,1",6.75,9.0,58808.0
2,"-1,0,1",8.0,9.0,58722.0
2,"-1,0,1",8.5,9.0,58672.0
2,"-1,0,1",8.25,9.0,58711.0
2,"-1,0,1",9.0,9.0,58640.0
2,"-1,0,1",9.25,9.0,58811.0
2,"-1,0,1",8.75,9.0,58651.0
2,"-1,0,1",6.5,9.25,58655.0
2,"-1,0,1",9.5,9.0,58812.0
2,"-1,0,1",6.75,9.25,58808.0
2,"-1,0,1",7.25,9.25,58767.0
2,"-1,0,1",7.0,9.25,58929.0
2,"-1,0,1",7.75,9.25,58762.0
2,"-1,0,1",7.5,9.25,58784.0
2,"-1,0,1",8.25,9.25,58711.0
2,"-1,0,1",8.5,9.25,58672.0
2,"-1,0,1",8.0,9.25,58722.0
2,"-1,0,1",8.75,9.25,58651.0
2,"-1,0,1",9.0,9.25,58640.0
2,"-1,0,1",9.25,9.25,58811.0
2,"-1,0,1",9.5,9.25,58812.0
2,"-1,0,1",6.5,9.5,58655.0
2,"-1,0,1",6.75,9.5,58808.0
2,"-1,0,1",7.25,9.5,58767.0
2,"-1,0,1",7.0,9.5,58929.0
2,"-1,0,1",7.75,9.5,58762.0
2,"-1,0,1",8.0,9.5,58722.0
2,"-1,0,1",7.5,9.5,58784.0
2,"-1,0,1",8.25,9.5,58711.0
2,"-1,0,1",8.5,9.5,58672.0
2,"-1,0,1",9.0,9.5,58640.0
2,"-1,0,1",8.75,9.5,58651.0
2,"-1,0,1",9.25,9.5,58811.0
2,"-1,0,1",9.5,9.5,58812.0
2,"-1,0,1",6.75,9.75,58808.0
2,"-1,0,1",6.5,9.75,58655.0
2,"-1,0,1",7.0,9.75,58929.0
2,"-1,0,1",7.25,9.75,58767.0
2,"-1,0,1",7.5,9.75,58784.0
2,"-1,0,1",8.0,9.75,58722.0
2,"-1,0,1",7.75,9.75,58762.0
2,"-1,0,1",8.25,9.75,58711.0
2,"-1,0,1",8.75,9.75,58651.0
2,"-1,0,1",8.5,9.75,58672.0
2,"-1,0,1",9.0,9.75,58640.0
2,"-1,0,1",9.25,9.75,58811.0
2,"-1,0,1",9.5,9.75,58812.0
2,"-1,0,1",6.5,10.0,58655.0
2,"-1,0,1",6.75,10.0,58808.0
2,"-1,0,1",7.0,10.0,58929.0
2,"-1,0,1",7.25,10.0,58767.0
2,"-1,0,1",7.5,10.0,58784.0
2,"-1,0,1",8.0,10.0,58722.0
2,"-1,0,1",7.75,10.0,58762.0
2,"-1,0,1",8.25,10.0,58711.0
2,"-1,0,1",8.5,10.0,58672.0
2,"-1,0,1",8.75,10.0,58651.0
2,"-1,0,1",9.0,10.0,58640.0
2,"-1,0,1",9.5,10.0,58812.0
2,"-1,0,1",9.25,10.0,58811.0
2,"-1,0,1",6.75,10.25,58808.0
2,"-1,0,1",6.5,10.25,58655.0
2,"-1,0,1",7.0,10.25,58929.0
