D,W,final_pnl,sharpe
60.0,2.0,-898493.0,-22.733322000521113
40.0,2.0,-995638.0,-19.850470183163935
20.0,2.0,-825522.0,-13.285386927609807
80.0,2.0,-679244.0,-21.88182702811092
160.0,2.0,-273701.0,-17.37434719185232
140.0,2.0,-337090.0,-18.755191124496164
100.0,2.0,-485429.0,-19.33835732863803
120.0,2.0,-404550.0,-19.315123677241324
200.0,2.0,-181861.0,-14.39851184335363
20.0,6.0,-779817.0,-12.626315385178879
180.0,2.0,-220809.0,-15.741446825127259
40.0,6.0,-760766.0,-15.218550741836948
60.0,6.0,-618393.0,-15.619587806541414
120.0,6.0,-192619.0,-9.148329481436377
100.0,6.0,-250623.0,-9.931853308863486
80.0,6.0,-407695.0,-13.085825909026767
160.0,6.0,-96381.0,-6.084826073212997
200.0,6.0,-53116.0,-4.205326958148703
140.0,6.0,-134093.0,-7.41958857486429
180.0,6.0,-71179.0,-5.069819666301471
60.0,10.0,-337984.0,-8.549674227828755
80.0,10.0,-205936.0,-6.6194416564267256
40.0,10.0,-522263.0,-10.539964155123197
20.0,10.0,-627461.0,-10.295035332753693
100.0,10.0,-125482.0,-4.995369377722
120.0,10.0,-79531.0,-3.7878228281691935
160.0,10.0,-32446.0,-2.061919647731967
140.0,10.0,-51443.0,-2.854736252773569
200.0,10.0,-13558.0,-1.0728733030750413
180.0,10.0,-21813.0,-1.556328649543587
20.0,14.0,-514681.0,-8.559199027683583
40.0,14.0,-344985.0,-7.010854697348758
60.0,14.0,-192000.0,-4.912980102467813
100.0,14.0,-49980.0,-1.9945995431972263
120.0,14.0,-23898.0,-1.1426254034711372
80.0,14.0,-100906.0,-3.2669136204335656
160.0,14.0,669.0,0.0428201257685196
180.0,14.0,6405.0,0.46274830796964334
200.0,14.0,10375.0,0.8285982957610277
140.0,14.0,-7790.0,-0.43433143020527454
40.0,18.0,-220817.0,-4.569268269776804
60.0,18.0,-101955.0,-2.630810519013655
80.0,18.0,-36895.0,-1.2007317767777221
20.0,18.0,-401944.0,-6.803220053991712
120.0,18.0,8418.0,0.4069871534420446
100.0,18.0,-6372.0,-0.25681888599114855
160.0,18.0,19853.0,1.2882506516300876
140.0,18.0,15694.0,0.8927698301967574
180.0,18.0,21079.0,1.5454144836747474
200.0,18.0,21316.0,1.7618533061861388
20.0,22.0,-321904.0,-5.579485635891441
40.0,22.0,-144337.0,-3.033126026339256
60.0,22.0,-46408.0,-1.2081429402089925
80.0,22.0,-1327.0,-0.04347684642814197
100.0,22.0,17640.0,0.7139567793744919
120.0,22.0,25188.0,1.2312613805969026
140.0,22.0,27837.0,1.602202535813712
160.0,22.0,29299.0,1.9497457689468554
200.0,22.0,25833.0,2.1766140772990155
180.0,22.0,28066.0,2.1003424282701193
80.0,26.0,21110.0,0.697894264977076
40.0,26.0,-88557.0,-1.8884699537574856
20.0,26.0,-251356.0,-4.471312025431628
60.0,26.0,-10501.0,-0.27533683594043784
140.0,26.0,35901.0,2.0947114796778896
100.0,26.0,32653.0,1.335262504844473
120.0,26.0,36612.0,1.8169676997567572
160.0,26.0,32042.0,2.1623435853736517
20.0,30.0,-202717.0,-3.638617070455367
200.0,26.0,27949.0,2.3597591136177942
180.0,26.0,31337.0,2.3991727984491837
40.0,30.0,-51940.0,-1.1224279512913926
60.0,30.0,13252.0,0.3522812264997061
120.0,30.0,41846.0,2.0962536585910954
80.0,30.0,36280.0,1.2120179659066892
100.0,30.0,42382.0,1.7559783519181789
200.0,30.0,27587.0,2.4290236124645848
180.0,30.0,30961.0,2.412417492329755
160.0,30.0,34713.0,2.38013369644854
140.0,30.0,39220.0,2.3124369041242994
80.0,34.0,47136.0,1.58503521935563
40.0,34.0,-22649.0,-0.49729684003935504
60.0,34.0,30064.0,0.80746640215487
20.0,34.0,-159577.0,-2.933854630037305
100.0,34.0,48911.0,2.0477764577559117
160.0,34.0,33178.0,2.368944817275676
120.0,34.0,45132.0,2.311864628150464
140.0,34.0,40562.0,2.4388910449322623
200.0,34.0,26228.0,2.342526626579643
20.0,38.0,-126974.0,-2.3757221245537394
40.0,38.0,-2036.0,-0.04549451958920697
180.0,34.0,29715.0,2.3609365140888725
60.0,38.0,42662.0,1.1616914132924674
80.0,38.0,54368.0,1.8510421116248765
120.0,38.0,45606.0,2.350281672383571
100.0,38.0,52760.0,2.2296097485647457
160.0,38.0,30696.0,2.1778995879269334
140.0,38.0,38370.0,2.3699351372207227
200.0,38.0,23391.0,2.186018640814365
180.0,38.0,29431.0,2.375567707331307
