product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
HYDROGEL_PACK,500,0.5,10.0,50444.0,0.769105823653554
HYDROGEL_PACK,10000,0.5,10.0,50444.0,0.769105823653554
HYDROGEL_PACK,4000,0.5,10.0,50444.0,0.769105823653554
HYDROGEL_PACK,1500,0.5,10.0,50444.0,0.769105823653554
HYDROGEL_PACK,25000,0.5,10.0,50444.0,0.769105823653554
HYDROGEL_PACK,4000,0.75,15.0,83016.0,1.342349318154042
HYDROGEL_PACK,500,0.75,15.0,83016.0,1.342349318154042
HYDROGEL_PACK,1500,0.75,15.0,83016.0,1.342349318154042
HYDROGEL_PACK,500,1.0,20.0,81839.0,1.4303749551197584
HYDROGEL_PACK,25000,0.75,15.0,83016.0,1.342349318154042
HYDROGEL_PACK,10000,0.75,15.0,83016.0,1.342349318154042
HYDROGEL_PACK,1500,1.0,20.0,81839.0,1.4303749551197584
HYDROGEL_PACK,4000,1.0,20.0,81839.0,1.4303749551197584
HYDROGEL_PACK,25000,1.0,20.0,81839.0,1.4303749551197584
HYDROGEL_PACK,500,1.5,30.0,76540.0,1.5448271505617588
HYDROGEL_PACK,10000,1.0,20.0,81839.0,1.4303749551197584
HYDROGEL_PACK,4000,1.5,30.0,76540.0,1.5448271505617588
HYDROGEL_PACK,1500,1.5,30.0,76540.0,1.5448271505617588
HYDROGEL_PACK,25000,1.5,30.0,76540.0,1.5448271505617588
HYDROGEL_PACK,10000,1.5,30.0,76540.0,1.5448271505617588
HYDROGEL_PACK,500,2.0,40.0,64183.0,2.3502654610574476
HYDROGEL_PACK,1500,2.0,40.0,64183.0,2.3502654610574476
HYDROGEL_PACK,10000,2.0,40.0,64183.0,2.3502654610574476
HYDROGEL_PACK,4000,2.0,40.0,64183.0,2.3502654610574476
HYDROGEL_PACK,25000,2.0,40.0,64183.0,2.3502654610574476
