min_position,ask_size,final_pnl,max_drawdown,peak_pnl,trough_pnl,day_0_pnl,day_1_pnl,day_2_pnl
58,5,223132.0,469.0,223601.0,-420.0,74823.5,74198.5,74110.0
59,5,224994.0,469.0,225463.0,-420.0,75447.0,74786.0,74761.0
60,5,226709.0,469.0,227178.0,-420.0,75967.5,75326.5,75415.0
61,5,228561.0,469.0,229030.0,-420.0,76582.0,75910.0,76069.0
62,5,230355.0,469.0,230824.0,-421.0,77063.5,76526.5,76765.0
63,5,231993.0,469.0,232462.0,-429.0,77578.5,77046.5,77368.0
64,5,233619.0,469.0,234088.0,-437.0,78083.5,77597.5,77938.0
65,5,235053.0,469.0,235522.0,-445.0,78499.5,78057.5,78496.0
66,5,236551.0,469.0,237020.0,-420.0,78979.5,78535.5,79036.0
67,5,237992.0,469.0,238461.0,-478.5,79433.5,78990.5,79568.0
68,5,239264.0,476.0,239740.0,-478.5,79743.5,79405.5,80115.0
69,5,240632.0,483.0,241115.0,-478.5,80146.5,79874.5,80611.0
70,5,241901.0,490.0,242391.0,-478.5,80511.5,80219.5,81170.0
71,5,243406.0,497.0,243903.0,-484.0,81023.5,80670.5,81712.0
72,5,244615.0,504.0,245119.0,-492.0,81286.5,81241.5,82087.0
73,5,245589.0,511.0,246100.0,-500.0,81597.5,81656.5,82335.0
74,5,246103.0,518.0,246621.0,-508.0,81776.0,81774.0,82553.0
75,5,246960.0,525.0,247485.0,-478.5,82182.0,81834.0,82944.0
76,5,246827.0,532.0,247359.0,-519.0,82195.0,81821.0,82811.0
77,5,245817.0,539.0,246356.0,-527.0,81953.0,81571.0,82293.0
78,5,243721.0,546.0,244267.0,-535.0,81185.0,80954.0,81582.0
79,5,241625.0,553.0,242178.0,-543.0,80417.0,80337.0,80871.0
58,6,222549.0,462.0,223011.0,-420.0,74371.5,74133.5,74044.0
59,6,224472.0,462.0,224934.0,-420.0,75040.0,74733.0,74699.0
60,6,226353.0,462.0,226815.0,-420.0,75675.5,75323.5,75354.0
61,6,228280.0,462.0,228742.0,-420.0,76324.0,75870.0,76086.0
62,6,230169.0,462.0,230631.0,-421.0,76918.5,76523.5,76727.0
63,6,231802.0,462.0,232264.0,-429.0,77430.0,77038.0,77334.0
64,6,233339.0,462.0,233801.0,-437.0,77846.0,77587.0,77906.0
65,6,234855.0,462.0,235317.0,-445.0,78345.0,78032.0,78478.0
66,6,236426.0,462.0,236888.0,-420.0,78888.5,78509.5,79028.0
67,6,237846.0,469.0,238315.0,-478.5,79321.5,78968.5,79556.0
68,6,239286.0,476.0,239762.0,-478.5,79681.5,79501.5,80103.0
69,6,240638.0,483.0,241121.0,-478.5,80110.5,79893.5,80634.0
70,6,242088.0,490.0,242578.0,-478.5,80633.5,80270.5,81184.0
71,6,243412.0,497.0,243909.0,-484.0,81010.5,80705.5,81696.0
