round,days,min_position,phase2_sell_min_delta,phase2_buy_min_delta,final_pnl
1,"-2,-1,0",76,0,0,246934.0
1,"-2,-1,0",73,0,0,245858.0
1,"-2,-1,0",77,0,0,245940.0
1,"-2,-1,0",72,0,0,244630.0
1,"-2,-1,0",73,1,0,245858.0
1,"-2,-1,0",75,0,0,247180.0
1,"-2,-1,0",74,0,0,246347.0
1,"-2,-1,0",72,1,0,244630.0
1,"-2,-1,0",74,1,0,246347.0
1,"-2,-1,0",76,1,0,246934.0
1,"-2,-1,0",74,2,0,246288.0
1,"-2,-1,0",75,1,0,247180.0
1,"-2,-1,0",72,2,0,244579.0
1,"-2,-1,0",73,2,0,245807.0
1,"-2,-1,0",75,2,0,247133.0
1,"-2,-1,0",77,1,0,245940.0
1,"-2,-1,0",76,2,0,246894.0
1,"-2,-1,0",77,2,0,245928.0
1,"-2,-1,0",72,3,0,244613.0
1,"-2,-1,0",76,3,0,246898.0
1,"-2,-1,0",75,3,0,247138.0
1,"-2,-1,0",73,3,0,245827.0
1,"-2,-1,0",77,3,0,245931.0
1,"-2,-1,0",74,3,0,246308.0
1,"-2,-1,0",72,4,0,244613.0
1,"-2,-1,0",74,4,0,246308.0
1,"-2,-1,0",73,4,0,245827.0
1,"-2,-1,0",75,4,0,247138.0
1,"-2,-1,0",72,0,1,244630.0
1,"-2,-1,0",76,4,0,246898.0
1,"-2,-1,0",77,4,0,245931.0
1,"-2,-1,0",73,0,1,245858.0
1,"-2,-1,0",74,0,1,246347.0
1,"-2,-1,0",75,0,1,247180.0
1,"-2,-1,0",76,0,1,246934.0
1,"-2,-1,0",77,0,1,245940.0
1,"-2,-1,0",72,1,1,244630.0
1,"-2,-1,0",73,1,1,245858.0
1,"-2,-1,0",74,1,1,246347.0
1,"-2,-1,0",75,1,1,247180.0
1,"-2,-1,0",76,1,1,246934.0
1,"-2,-1,0",77,1,1,245940.0
1,"-2,-1,0",73,2,1,245807.0
1,"-2,-1,0",72,2,1,244579.0
1,"-2,-1,0",74,2,1,246288.0
1,"-2,-1,0",75,2,1,247133.0
1,"-2,-1,0",77,2,1,245928.0
1,"-2,-1,0",76,2,1,246894.0
1,"-2,-1,0",72,3,1,244613.0
1,"-2,-1,0",73,3,1,245827.0
1,"-2,-1,0",74,3,1,246308.0
1,"-2,-1,0",75,3,1,247138.0
1,"-2,-1,0",76,3,1,246898.0
1,"-2,-1,0",77,3,1,245931.0
1,"-2,-1,0",73,4,1,245827.0
1,"-2,-1,0",72,4,1,244613.0
1,"-2,-1,0",74,4,1,246308.0
1,"-2,-1,0",75,4,1,247138.0
1,"-2,-1,0",76,4,1,246898.0
1,"-2,-1,0",77,4,1,245931.0
1,"-2,-1,0",72,0,2,244630.0
1,"-2,-1,0",73,0,2,245858.0
1,"-2,-1,0",74,0,2,246347.0
1,"-2,-1,0",75,0,2,247180.0
1,"-2,-1,0",77,0,2,245940.0
1,"-2,-1,0",76,0,2,246934.0
1,"-2,-1,0",72,1,2,244630.0
1,"-2,-1,0",73,1,2,245858.0
1,"-2,-1,0",74,1,2,246347.0
1,"-2,-1,0",75,1,2,247180.0
1,"-2,-1,0",76,1,2,246934.0
1,"-2,-1,0",77,1,2,245940.0
1,"-2,-1,0",72,2,2,244579.0
1,"-2,-1,0",73,2,2,245807.0
1,"-2,-1,0",74,2,2,246288.0
1,"-2,-1,0",75,2,2,247133.0
1,"-2,-1,0",77,2,2,245928.0
1,"-2,-1,0",76,2,2,246894.0
1,"-2,-1,0",73,3,2,245827.0
1,"-2,-1,0",72,3,2,244613.0
1,"-2,-1,0",74,3,2,246308.0
1,"-2,-1,0",75,3,2,247138.0
1,"-2,-1,0",76,3,2,246898.0
1,"-2,-1,0",77,3,2,245931.0
1,"-2,-1,0",73,4,2,245827.0
1,"-2,-1,0",72,4,2,244613.0
1,"-2,-1,0",75,4,2,247138.0
1,"-2,-1,0",74,4,2,246308.0
1,"-2,-1,0",76,4,2,246898.0
1,"-2,-1,0",77,4,2,245931.0
1,"-2,-1,0",72,0,3,244581.0
1,"-2,-1,0",73,0,3,245795.0
1,"-2,-1,0",74,0,3,246293.0
1,"-2,-1,0",75,0,3,247135.0
1,"-2,-1,0",76,0,3,246898.0
1,"-2,-1,0",77,0,3,245913.0
1,"-2,-1,0",72,1,3,244581.0
1,"-2,-1,0",73,1,3,245795.0
1,"-2,-1,0",75,1,3,247135.0
1,"-2,-1,0",74,1,3,246293.0
1,"-2,-1,0",76,1,3,246898.0
1,"-2,-1,0",77,1,3,245913.0
1,"-2,-1,0",72,2,3,244530.0
1,"-2,-1,0",73,2,3,245744.0
1,"-2,-1,0",74,2,3,246234.0
1,"-2,-1,0",75,2,3,247088.0
1,"-2,-1,0",77,2,3,245901.0
1,"-2,-1,0",76,2,3,246858.0
1,"-2,-1,0",73,3,3,245764.0
1,"-2,-1,0",72,3,3,244564.0
1,"-2,-1,0",74,3,3,246254.0
1,"-2,-1,0",75,3,3,247093.0
1,"-2,-1,0",77,3,3,245904.0
1,"-2,-1,0",76,3,3,246862.0
1,"-2,-1,0",72,4,3,244564.0
1,"-2,-1,0",73,4,3,245764.0
1,"-2,-1,0",74,4,3,246254.0
1,"-2,-1,0",75,4,3,247093.0
1,"-2,-1,0",76,4,3,246862.0
1,"-2,-1,0",77,4,3,245904.0
1,"-2,-1,0",72,0,4,244581.0
1,"-2,-1,0",73,0,4,245795.0
1,"-2,-1,0",74,0,4,246293.0
1,"-2,-1,0",75,0,4,247135.0
1,"-2,-1,0",77,0,4,245913.0
1,"-2,-1,0",76,0,4,246898.0
1,"-2,-1,0",72,1,4,244581.0
1,"-2,-1,0",73,1,4,245795.0
1,"-2,-1,0",74,1,4,246293.0
1,"-2,-1,0",75,1,4,247135.0
1,"-2,-1,0",76,1,4,246898.0
1,"-2,-1,0",77,1,4,245913.0
1,"-2,-1,0",72,2,4,244530.0
1,"-2,-1,0",73,2,4,245744.0
1,"-2,-1,0",74,2,4,246234.0
1,"-2,-1,0",75,2,4,247088.0
1,"-2,-1,0",76,2,4,246858.0
1,"-2,-1,0",77,2,4,245901.0
1,"-2,-1,0",72,3,4,244564.0
1,"-2,-1,0",73,3,4,245764.0
1,"-2,-1,0",74,3,4,246254.0
1,"-2,-1,0",75,3,4,247093.0
1,"-2,-1,0",76,3,4,246862.0
1,"-2,-1,0",77,3,4,245904.0
1,"-2,-1,0",73,4,4,245764.0
1,"-2,-1,0",72,4,4,244564.0
1,"-2,-1,0",74,4,4,246254.0
1,"-2,-1,0",75,4,4,247093.0
1,"-2,-1,0",76,4,4,246862.0
1,"-2,-1,0",77,4,4,245904.0
