round,days,min_position,phase2_sell_min_delta,phase2_buy_min_delta,final_pnl
2,"-1,0,1",73,1,0,247175.0
2,"-1,0,1",75,0,0,248107.0
2,"-1,0,1",73,0,0,247175.0
2,"-1,0,1",72,1,0,246703.5
2,"-1,0,1",77,0,0,246942.0
2,"-1,0,1",76,0,0,248412.5
2,"-1,0,1",74,0,0,247966.5
2,"-1,0,1",72,0,0,246703.5
2,"-1,0,1",74,1,0,247966.5
2,"-1,0,1",75,1,0,248107.0
2,"-1,0,1",77,1,0,246942.0
2,"-1,0,1",75,2,0,248135.0
2,"-1,0,1",72,2,0,246754.5
2,"-1,0,1",74,2,0,247994.5
2,"-1,0,1",73,2,0,247197.0
2,"-1,0,1",76,1,0,248412.5
2,"-1,0,1",76,2,0,248433.5
2,"-1,0,1",77,2,0,246960.0
2,"-1,0,1",72,3,0,246694.5
2,"-1,0,1",75,3,0,248135.0
2,"-1,0,1",73,3,0,247197.0
2,"-1,0,1",77,3,0,246960.0
2,"-1,0,1",74,3,0,247994.5
2,"-1,0,1",76,3,0,248433.5
2,"-1,0,1",72,4,0,246694.5
2,"-1,0,1",73,4,0,247197.0
2,"-1,0,1",74,4,0,247994.5
2,"-1,0,1",76,4,0,248433.5
2,"-1,0,1",72,0,1,246703.5
2,"-1,0,1",77,4,0,246960.0
2,"-1,0,1",73,0,1,247175.0
2,"-1,0,1",75,4,0,248135.0
2,"-1,0,1",74,0,1,247966.5
2,"-1,0,1",75,0,1,248107.0
2,"-1,0,1",76,0,1,248412.5
2,"-1,0,1",77,0,1,246942.0
2,"-1,0,1",75,1,1,248107.0
2,"-1,0,1",74,1,1,247966.5
2,"-1,0,1",72,1,1,246703.5
2,"-1,0,1",73,1,1,247175.0
2,"-1,0,1",76,1,1,248412.5
2,"-1,0,1",77,1,1,246942.0
2,"-1,0,1",72,2,1,246754.5
2,"-1,0,1",73,2,1,247197.0
2,"-1,0,1",74,2,1,247994.5
2,"-1,0,1",76,2,1,248433.5
2,"-1,0,1",77,2,1,246960.0
2,"-1,0,1",75,2,1,248135.0
2,"-1,0,1",72,3,1,246694.5
2,"-1,0,1",73,3,1,247197.0
2,"-1,0,1",75,3,1,248135.0
2,"-1,0,1",74,3,1,247994.5
2,"-1,0,1",76,3,1,248433.5
2,"-1,0,1",77,3,1,246960.0
2,"-1,0,1",72,4,1,246694.5
2,"-1,0,1",73,4,1,247197.0
2,"-1,0,1",74,4,1,247994.5
2,"-1,0,1",75,4,1,248135.0
2,"-1,0,1",76,4,1,248433.5
2,"-1,0,1",77,4,1,246960.0
2,"-1,0,1",72,0,2,246703.5
2,"-1,0,1",73,0,2,247175.0
2,"-1,0,1",74,0,2,247966.5
2,"-1,0,1",75,0,2,248107.0
2,"-1,0,1",76,0,2,248412.5
2,"-1,0,1",77,0,2,246942.0
2,"-1,0,1",72,1,2,246703.5
2,"-1,0,1",73,1,2,247175.0
2,"-1,0,1",74,1,2,247966.5
2,"-1,0,1",75,1,2,248107.0
2,"-1,0,1",76,1,2,248412.5
2,"-1,0,1",77,1,2,246942.0
2,"-1,0,1",72,2,2,246754.5
2,"-1,0,1",73,2,2,247197.0
2,"-1,0,1",75,2,2,248135.0
2,"-1,0,1",76,2,2,248433.5
2,"-1,0,1",74,2,2,247994.5
2,"-1,0,1",77,2,2,246960.0
2,"-1,0,1",72,3,2,246694.5
2,"-1,0,1",73,3,2,247197.0
2,"-1,0,1",74,3,2,247994.5
2,"-1,0,1",75,3,2,248135.0
2,"-1,0,1",76,3,2,248433.5
2,"-1,0,1",72,4,2,246694.5
2,"-1,0,1",77,3,2,246960.0
2,"-1,0,1",73,4,2,247197.0
2,"-1,0,1",74,4,2,247994.5
2,"-1,0,1",75,4,2,248135.0
2,"-1,0,1",76,4,2,248433.5
