product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
HYDROGEL_PACK,4000,0.5,10.0,64876.0,0.9595063095788183
HYDROGEL_PACK,500,0.5,10.0,-4936.0,-0.07858632510850029
HYDROGEL_PACK,10000,0.5,10.0,73647.0,1.0737650778078152
HYDROGEL_PACK,1500,0.5,10.0,46634.0,0.6943022857646232
HYDROGEL_PACK,500,0.75,15.0,40578.0,0.6977319145734331
HYDROGEL_PACK,1500,0.75,15.0,64534.0,1.0226242164403465
HYDROGEL_PACK,25000,0.5,10.0,82006.0,1.195649404859629
HYDROGEL_PACK,4000,0.75,15.0,90814.0,1.4029428006142293
HYDROGEL_PACK,1500,1.0,20.0,76876.0,1.3100796122828309
HYDROGEL_PACK,500,1.0,20.0,60932.0,1.1569197749163391
HYDROGEL_PACK,10000,0.75,15.0,102799.0,1.5611684384673834
HYDROGEL_PACK,25000,0.75,15.0,107652.0,1.63184770384531
HYDROGEL_PACK,4000,1.0,20.0,110441.0,1.786838579987652
HYDROGEL_PACK,500,1.5,30.0,72559.0,1.8808587932636638
HYDROGEL_PACK,25000,1.0,20.0,127001.0,2.014027331502349
HYDROGEL_PACK,10000,1.0,20.0,115598.0,1.8321716220254156
HYDROGEL_PACK,25000,1.5,30.0,107502.0,1.941299972332487
HYDROGEL_PACK,1500,1.5,30.0,97607.0,1.9358705407396228
HYDROGEL_PACK,4000,1.5,30.0,96090.0,1.7480312230839896
HYDROGEL_PACK,10000,1.5,30.0,107282.0,1.967841547321814
HYDROGEL_PACK,10000,2.0,40.0,108763.0,2.2481587657546696
HYDROGEL_PACK,500,2.0,40.0,45276.0,1.7804214070100233
HYDROGEL_PACK,4000,2.0,40.0,107002.0,2.2403957466657367
HYDROGEL_PACK,1500,2.0,40.0,84343.0,1.9983428822711262
HYDROGEL_PACK,25000,2.0,40.0,113286.0,2.3708071981955636
