product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
VELVETFRUIT_EXTRACT,4000,0.5,3.5,53415.0,1.5036990818781384
VELVETFRUIT_EXTRACT,500,0.5,3.5,12154.0,0.3640215857991387
VELVETFRUIT_EXTRACT,10000,0.5,3.5,65291.0,1.8436529162020066
VELVETFRUIT_EXTRACT,1500,0.5,3.5,53003.0,1.5312687500390405
VELVETFRUIT_EXTRACT,500,0.75,5.25,28101.0,0.905539033575106
VELVETFRUIT_EXTRACT,1500,0.75,5.25,56519.0,1.7233578422907743
VELVETFRUIT_EXTRACT,4000,0.75,5.25,62297.0,1.8179196762295249
VELVETFRUIT_EXTRACT,25000,0.5,3.5,67218.0,1.9003845905865835
VELVETFRUIT_EXTRACT,25000,0.75,5.25,79087.0,2.3360039385531146
VELVETFRUIT_EXTRACT,1500,1.0,7.0,61745.0,1.976328467764705
VELVETFRUIT_EXTRACT,500,1.0,7.0,44599.0,1.528291067042041
VELVETFRUIT_EXTRACT,10000,0.75,5.25,74424.0,2.1731387638475743
VELVETFRUIT_EXTRACT,25000,1.0,7.0,87180.0,2.660004259971702
VELVETFRUIT_EXTRACT,4000,1.0,7.0,72541.0,2.1919456903811163
VELVETFRUIT_EXTRACT,10000,1.0,7.0,82789.0,2.516776845970778
VELVETFRUIT_EXTRACT,500,1.5,10.5,56285.0,2.214791512398593
VELVETFRUIT_EXTRACT,25000,1.5,10.5,86046.0,2.794086356236236
VELVETFRUIT_EXTRACT,4000,1.5,10.5,71478.0,2.2839891407191497
VELVETFRUIT_EXTRACT,1500,1.5,10.5,62666.0,2.1368449653731263
VELVETFRUIT_EXTRACT,10000,1.5,10.5,82306.0,2.6471590923516155
VELVETFRUIT_EXTRACT,1500,2.0,14.0,64180.0,2.372091395118877
VELVETFRUIT_EXTRACT,500,2.0,14.0,54763.0,2.4582478482346692
VELVETFRUIT_EXTRACT,10000,2.0,14.0,79040.0,2.6636389301203773
VELVETFRUIT_EXTRACT,4000,2.0,14.0,72972.0,2.425962848777904
VELVETFRUIT_EXTRACT,25000,2.0,14.0,81928.0,2.8084938856837436
