product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
VEV_5300,500,0.5,2.75,2033.0,0.09406588427241822
VEV_5300,10000,0.5,2.75,27097.0,1.1880868035771668
VEV_5300,1500,0.5,2.75,20434.0,0.9318399645892184
VEV_5300,4000,0.5,2.75,27757.0,1.2506263905794757
VEV_5300,500,0.75,4.125,16582.0,0.844527238714642
VEV_5300,25000,0.5,2.75,22540.0,0.9776471476734678
VEV_5300,1500,0.75,4.125,26116.0,1.2621613590729897
VEV_5300,4000,0.75,4.125,32878.0,1.558652096483853
VEV_5300,1500,1.0,5.5,31271.0,1.594662591758924
VEV_5300,25000,0.75,4.125,30006.0,1.350057437245637
VEV_5300,10000,0.75,4.125,34934.0,1.5901089861056767
VEV_5300,500,1.0,5.5,24030.0,1.347803558507964
VEV_5300,500,1.5,8.25,21753.0,1.6746962440304882
VEV_5300,4000,1.0,5.5,30947.0,1.5534107934315193
VEV_5300,10000,1.0,5.5,34278.0,1.6391245293072005
VEV_5300,25000,1.0,5.5,30449.0,1.4253387149688763
VEV_5300,1500,1.5,8.25,32441.0,1.9906695483206798
VEV_5300,10000,1.5,8.25,36726.0,1.9536269704112794
VEV_5300,4000,1.5,8.25,39213.0,2.277320014627836
VEV_5300,25000,1.5,8.25,32556.0,1.675526783389198
VEV_5300,500,2.0,11.0,11632.0,1.16457277875212
VEV_5300,1500,2.0,11.0,27351.0,2.0512008442969036
VEV_5300,10000,2.0,11.0,34364.0,2.2413262346196112
VEV_5300,4000,2.0,11.0,24878.0,1.7303338612423083
VEV_5300,25000,2.0,11.0,29854.0,1.7776231804818827
