weak_frac,strong_mult_near,strong_mult_taker,entry_scale,follow_max_frac,pnl,plateau_score
0.7,0.9,1.3,0.85,0.3,320822.0000,315147.0000
0.7,0.9,1.3,0.85,0.5,320822.0000,315147.0000
0.7,0.9,1.3,1,0.3,323169.0000,317494.0000
0.7,0.9,1.3,1,0.5,323169.0000,317494.0000
0.7,0.9,1.5,0.85,0.3,315147.0000,314576.0000
0.7,0.9,1.5,0.85,0.5,315147.0000,314576.0000
0.7,0.9,1.5,1,0.3,317494.0000,315147.0000
0.7,0.9,1.5,1,0.5,317494.0000,315147.0000
0.7,1,1.3,0.85,0.3,320251.0000,314576.0000
0.7,1,1.3,0.85,0.5,320251.0000,314576.0000
0.7,1,1.3,1,0.3,322545.0000,316870.0000
0.7,1,1.3,1,0.5,322545.0000,316870.0000
0.7,1,1.5,0.85,0.3,314576.0000,314576.0000
0.7,1,1.5,0.85,0.5,314576.0000,314576.0000
0.7,1,1.5,1,0.3,316870.0000,314576.0000
0.7,1,1.5,1,0.5,316870.0000,314576.0000
0.7,1.1,1.3,0.85,0.3,320409.0000,314734.0000
0.7,1.1,1.3,0.85,0.5,320409.0000,314734.0000
0.7,1.1,1.3,1,0.3,322359.0000,316684.0000
0.7,1.1,1.3,1,0.5,322359.0000,316684.0000
0.7,1.1,1.5,0.85,0.3,314734.0000,314576.0000
0.7,1.1,1.5,0.85,0.5,314734.0000,314576.0000
0.7,1.1,1.5,1,0.3,316684.0000,314734.0000
0.7,1.1,1.5,1,0.5,316684.0000,314734.0000
0.8,0.9,1.3,0.85,0.3,322653.0000,319369.0000
0.8,0.9,1.3,0.85,0.5,322653.0000,319369.0000
0.8,0.9,1.3,1,0.3,324983.0000,321699.0000
0.8,0.9,1.3,1,0.5,324983.0000,321699.0000
0.8,0.9,1.5,0.85,0.3,319369.0000,315147.0000
0.8,0.9,1.5,0.85,0.5,319369.0000,315147.0000
0.8,0.9,1.5,1,0.3,321699.0000,317494.0000
0.8,0.9,1.5,1,0.5,321699.0000,317494.0000
0.8,1,1.3,0.85,0.3,322071.0000,318787.0000
0.8,1,1.3,0.85,0.5,322071.0000,318787.0000
0.8,1,1.3,1,0.3,324401.0000,321117.0000
0.8,1,1.3,1,0.5,324401.0000,321117.0000
0.8,1,1.5,0.85,0.3,318787.0000,314576.0000
0.8,1,1.5,0.85,0.5,318787.0000,314576.0000
0.8,1,1.5,1,0.3,321117.0000,316870.0000
0.8,1,1.5,1,0.5,321117.0000,316870.0000
0.8,1.1,1.3,0.85,0.3,322532.0000,319248.0000
0.8,1.1,1.3,0.85,0.5,322532.0000,319248.0000
0.8,1.1,1.3,1,0.3,324660.0000,321376.0000
0.8,1.1,1.3,1,0.5,324660.0000,321376.0000
0.8,1.1,1.5,0.85,0.3,319248.0000,314734.0000
0.8,1.1,1.5,0.85,0.5,319248.0000,314734.0000
0.8,1.1,1.5,1,0.3,321376.0000,316684.0000
0.8,1.1,1.5,1,0.5,321376.0000,316684.0000
