timestamp,portfolio_pnl,drawdown,PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_L,PEBBLES_XL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4600,82.5,0.0,9.0,-18.0,34.5,22.5,34.5
4700,84.0,0.0,123.0,-51.0,52.5,57.0,-97.5
4800,84.0,0.0,103.5,-67.5,37.5,73.5,-63.0
4900,85.5,0.0,109.5,-118.5,52.5,-31.5,73.5
5000,85.5,0.0,142.5,-118.5,34.5,-22.5,49.5
5100,85.5,0.0,112.5,-214.5,4.5,-25.5,208.5
5200,82.5,3.0,118.5,-178.5,61.5,-58.5,139.5
5300,82.5,3.0,115.5,-181.5,91.5,-70.5,127.5
5400,87.0,0.0,49.5,-216.0,130.5,-58.5,181.5
5500,84.0,3.0,18.0,-193.5,202.5,-67.5,124.5
5600,82.5,4.5,-13.5,-177.0,238.5,-7.5,42.0
5700,82.5,4.5,-115.5,-172.5,259.5,4.5,106.5
5800,84.0,3.0,-138.0,-178.5,277.5,-19.5,142.5
5900,84.0,3.0,-151.5,-141.0,208.5,-10.5,178.5
6000,84.0,3.0,-133.5,-52.5,208.5,-9.0,70.5
6100,84.0,3.0,-183.0,-163.5,193.5,-7.5,244.5
6200,82.5,4.5,-193.5,-187.5,172.5,-70.5,361.5
6300,138.0,0.0,-309.0,-145.5,126.0,-96.0,562.5
6400,87.0,51.0,-295.5,-171.0,91.5,-118.5,580.5
6500,82.5,55.5,-331.5,-136.5,88.5,-58.5,520.5
6600,82.5,55.5,-271.5,-160.5,34.5,-133.5,613.5
6700,85.5,52.5,-238.5,-151.5,1.5,-82.5,556.5
6800,84.0,54.0,-271.5,-157.5,-10.5,-118.5,642.0
6900,82.5,55.5,-238.5,-166.5,-22.5,-157.5,667.5
7000,84.0,54.0,-217.5,-237.0,-55.5,-217.5,811.5
7100,82.5,55.5,-157.5,-208.5,-28.5,-136.5,613.5
7200,84.0,54.0,-151.5,-147.0,-55.5,-91.5,529.5
7300,85.5,52.5,-169.5,-175.5,-73.5,-91.5,595.5
7400,82.5,55.5,-220.5,-235.5,-61.5,-169.5,769.5
7500,87.0,51.0,-214.5,-219.0,-43.5,-160.5,724.5
7600,82.5,55.5,-244.5,-157.5,-40.5,-145.5,670.5
7700,82.5,55.5,-277.5,-208.5,-61.5,-160.5,790.5
7800,85.5,52.5,-361.5,-211.5,-22.5,-151.5,832.5
7900,84.0,54.0,-358.5,-175.5,34.5,-184.5,768.0
8000,84.0,54.0,-322.5,-172.5,-22.5,-174.0,775.5
8100,88.5,49.5,-352.5,-154.5,-16.5,-205.5,817.5
8200,84.0,54.0,-430.5,-147.0,-49.5,-133.5,844.5
8300,82.5,55.5,-475.5,-109.5,22.5,-160.5,805.5
8400,87.0,51.0,-457.5,-105.0,43.5,-199.5,805.5
8500,40.5,97.5,-472.5,-130.5,25.5,-193.5,811.5
8600,85.5,52.5,-487.5,-103.5,82.5,-184.5,778.5
8700,85.5,52.5,-511.5,-142.5,34.5,-253.5,958.5
8800,84.0,54.0,-625.5,-159.0,7.5,-241.5,1102.5
8900,82.5,55.5,-673.5,-160.5,61.5,-196.5,1051.5
9000,84.0,54.0,-646.5,-159.0,88.5,-193.5,994.5
9100,135.0,3.0,-615.0,-270.0,99.0,-132.0,1053.0
9200,84.0,54.0,-616.5,-378.0,79.5,-151.5,1150.5
9300,82.5,55.5,-613.5,-460.5,127.5,-139.5,1168.5
9400,84.0,54.0,-610.5,-403.5,169.5,-169.5,1098.0
9500,82.5,55.5,-550.5,-388.5,109.5,-184.5,1096.5
9600,84.0,54.0,-543.0,-427.5,91.5,-193.5,1156.5
9700,84.0,54.0,-529.5,-450.0,160.5,-184.5,1087.5
9800,85.5,52.5,-580.5,-378.0,234.0,-202.5,1012.5
9900,84.0,54.0,-541.5,-454.5,214.5,-196.5,1062.0
10000,84.0,54.0,-504.0,-522.0,168.0,-301.5,1243.5
10100,85.5,52.5,-559.5,-463.5,124.5,-313.5,1297.5
10200,195.5,0.0,-642.5,-406.5,195.5,-298.5,1347.5
10300,192.0,3.5,-691.5,-539.5,97.5,-228.5,1554.0
10400,192.0,3.5,-803.5,-501.0,272.5,-207.5,1431.5
10500,195.5,0.0,-807.0,-623.5,384.5,-347.5,1589.0
10600,192.0,3.5,-964.5,-574.5,412.5,-438.5,1757.0
10700,195.5,0.0,-1020.5,-648.0,524.5,-557.5,1897.0
10800,192.0,3.5,-1087.0,-823.0,552.5,-557.5,2107.0
10900,195.5,0.0,-964.5,-840.5,636.5,-564.5,1928.5
11000,192.0,3.5,-1087.0,-809.0,419.5,-690.5,2359.0
11100,185.0,10.5,-992.5,-875.5,314.5,-676.5,2415.0
11200,195.5,0.0,-1066.0,-756.5,230.5,-697.5,2485.0
11300,188.5,7.0,-1055.5,-749.5,405.5,-641.5,2229.5
