day,timestamp,GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_XL,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,global_time,portfolio_price,portfolio_change
2,0,10000.0,10000.0,10000.0,10000.0,0,25000.0,0.0
2,100,10007.5,9959.5,10008.5,9997.5,100,24976.75,-23.25
2,200,10002.5,9928.5,10007.5,10000.5,200,24938.25,-61.75
2,300,10000.5,9949.0,10011.5,9999.5,300,24961.25,-38.75
2,400,10005.5,9947.5,10012.5,9988.5,400,24971.25,-28.75
2,500,10012.5,9971.5,10015.5,9986.5,500,25006.25,6.25
2,600,10001.5,9949.5,9999.5,9982.5,600,24959.25,-40.75
2,700,9988.5,9920.5,10002.5,9982.5,700,24920.25,-79.75
2,800,9981.5,9928.5,10006.5,9984.5,800,24924.25,-75.75
2,900,9973.5,9961.5,10013.5,9982.0,900,24957.5,-42.5
2,1000,9968.5,9928.5,10010.5,9981.5,1000,24916.75,-83.25
2,1100,9981.5,9950.5,10010.5,9978.5,1100,24953.25,-46.75
2,1200,9972.5,9916.5,10012.5,9979.5,1200,24911.75,-88.25
2,1300,9975.5,9923.5,10012.5,9976.5,1300,24923.25,-76.75
2,1400,9972.5,9956.5,10014.5,9979.5,1400,24953.75,-46.25
2,1500,9968.5,9944.5,10011.5,9983.5,1500,24932.75,-67.25
2,1600,9962.5,9955.5,10012.5,9988.5,1600,24936.25,-63.75
2,1700,9975.5,9947.5,10013.5,9984.5,1700,24944.25,-55.75
2,1800,9963.5,9944.5,10002.5,9991.5,1800,24914.75,-85.25
2,1900,9972.5,9945.5,9994.5,9987.5,1900,24918.75,-81.25
2,2000,9946.5,9974.5,9996.5,9992.5,2000,24921.25,-78.75
2,2100,9941.5,9949.5,10001.5,9998.5,2100,24893.25,-106.75
2,2200,9946.0,9963.5,10009.5,9994.5,2200,24921.75,-78.25
2,2300,9927.5,9971.5,10011.5,10000.5,2300,24910.25,-89.75
2,2400,9941.5,10010.5,10006.5,9992.5,2400,24962.25,-37.75
2,2500,9919.5,10014.5,10007.5,9996.5,2500,24943.25,-56.75
2,2600,9918.0,10066.5,9997.5,9998.5,2600,24982.75,-17.25
2,2700,9919.5,10049.0,9997.5,10002.5,2700,24964.75,-35.25
2,2800,9917.5,10086.5,9993.5,9999.5,2800,24997.75,-2.25
2,2900,9924.5,10059.5,9986.5,9995.5,2900,24972.75,-27.25
2,3000,9924.5,10091.0,9973.5,9991.5,3000,24993.25,-6.75
2,3100,9924.5,10127.5,9978.5,9991.5,3100,25034.75,34.75
2,3200,9911.5,10083.5,9979.5,9985.5,3200,24981.75,-18.25
2,3300,9910.5,10094.5,9979.5,9983.5,3300,24992.75,-7.25
2,3400,9909.5,10094.5,9984.5,9992.5,3400,24992.25,-7.75
2,3500,9906.5,10092.5,9986.5,9986.5,3500,24992.25,-7.75
2,3600,9912.5,10092.5,9978.5,9992.5,3600,24987.25,-12.75
2,3700,9909.5,10108.0,9975.5,9989.5,3700,24998.25,-1.75
2,3800,9901.5,10085.5,9985.5,9982.5,3800,24981.25,-18.75
2,3900,9887.5,10036.5,9988.5,9986.5,3900,24919.25,-80.75
2,4000,9897.5,10064.5,9990.5,9992.5,4000,24956.25,-43.75
2,4100,9887.5,10073.5,9988.5,9984.5,4100,24957.25,-42.75
2,4200,9889.5,10083.5,9989.5,9991.5,4200,24966.75,-33.25
2,4300,9883.5,10100.5,9990.5,9993.5,4300,24977.75,-22.25
2,4400,9888.5,10068.5,9979.5,9996.5,4400,24938.25,-61.75
2,4500,9899.5,10069.5,9981.5,9989.5,4500,24955.75,-44.25
2,4600,9911.5,10063.5,9977.5,9987.5,4600,24958.75,-41.25
2,4700,9913.5,10107.5,9980.5,9989.5,4700,25006.75,6.75
2,4800,9897.5,10096.0,9982.5,9985.5,4800,24983.25,-16.75
2,4900,9904.5,10050.5,9975.5,9978.5,4900,24941.25,-58.75
2,5000,9897.0,10058.5,9975.5,9973.5,5000,24944.25,-55.75
2,5100,9883.5,10005.5,9964.5,9975.0,5100,24866.0,-134.0
2,5200,9877.5,10028.5,9969.5,9974.5,5200,24888.25,-111.75
2,5300,9871.5,10032.5,9955.5,9975.5,5300,24871.75,-128.25
2,5400,9868.5,10014.5,9956.5,9968.5,5400,24855.25,-144.75
2,5500,9884.5,10033.5,9959.5,9972.5,5500,24891.25,-108.75
2,5600,9888.5,10061.0,9942.5,9986.5,5600,24898.75,-101.25
2,5700,9882.5,10039.5,9940.5,9979.5,5700,24872.75,-127.25
2,5800,9885.0,10027.5,9940.5,9980.5,5800,24862.75,-137.25
2,5900,9896.0,10015.5,9941.5,9976.5,5900,24864.75,-135.25
2,6000,9904.5,10051.5,9950.0,9976.5,6000,24917.75,-82.25
2,6100,9901.5,9993.5,9951.5,9977.5,6100,24857.75,-142.25
2,6200,9901.0,9954.5,9947.0,9977.5,6200,24813.75,-186.25
2,6300,9881.5,9887.5,9951.5,9977.5,6300,24731.75,-268.25
2,6400,9879.5,9881.5,9954.5,9973.5,6400,24728.75,-271.25
2,6500,9882.5,9901.5,9948.5,9980.5,6500,24742.25,-257.75
2,6600,9878.5,9870.5,9947.5,9983.5,6600,24704.75,-295.25
2,6700,9871.5,9889.5,9944.5,9977.5,6700,24716.75,-283.25
2,6800,9884.5,9861.0,9948.5,9966.5,6800,24710.75,-289.25
2,6900,9901.5,9852.5,9951.5,9973.5,6900,24718.75,-281.25
2,7000,9894.5,9804.5,9963.5,9978.5,7000,24673.25,-326.75
2,7100,9891.5,9870.5,9965.5,9978.5,7100,24738.25,-261.75
2,7200,9882.5,9898.5,9970.5,9973.5,7200,24764.75,-235.25
2,7300,9879.5,9876.5,9980.0,9967.5,7300,24752.25,-247.75
2,7400,9875.5,9818.5,9979.5,9966.5,7400,24690.25,-309.75
2,7500,9877.5,9833.5,9973.5,9964.5,7500,24702.25,-297.75
2,7600,9883.5,9851.5,9955.5,9965.5,7600,24707.75,-292.25
2,7700,9871.5,9811.5,9952.0,9966.5,7700,24651.75,-348.25
2,7800,9869.0,9797.5,9966.5,9961.5,7800,24652.25,-347.75
2,7900,9856.5,9819.0,9960.5,9964.5,7900,24653.75,-346.25
2,8000,9847.5,9816.5,9959.5,9960.5,8000,24643.25,-356.75
2,8100,9858.5,9802.5,9961.5,9961.5,8100,24641.75,-358.25
2,8200,9856.5,9793.5,9961.5,9966.5,8200,24628.25,-371.75
2,8300,9850.5,9806.5,9962.5,9978.5,8300,24630.25,-369.75
2,8400,9863.5,9806.5,9955.5,9974.5,8400,24638.25,-361.75
2,8500,9862.5,9804.5,9968.5,9971.5,8500,24649.75,-350.25
2,8600,9852.5,9815.5,9974.5,9978.5,8600,24653.25,-346.75
2,8700,9831.5,9755.5,9968.5,9977.5,8700,24566.75,-433.25
2,8800,9830.5,9707.5,9977.5,9974.5,8800,24528.25,-471.75
2,8900,9843.5,9724.5,9974.5,9970.5,8900,24557.25,-442.75
2,9000,9829.0,9743.5,9973.5,9972.5,9000,24559.75,-440.25
2,9100,9843.5,9724.0,9969.5,9976.5,9100,24548.75,-451.25
2,9200,9840.5,9691.5,9972.5,9976.5,9200,24516.25,-483.75
2,9300,9840.5,9685.5,9968.5,9980.5,9300,24504.25,-495.75
2,9400,9843.5,9709.0,9977.5,9977.5,9400,24541.25,-458.75
2,9500,9853.5,9709.5,9969.5,9981.5,9500,24541.75,-458.25
2,9600,9846.5,9689.5,9974.5,9975.5,9600,24522.75,-477.25
2,9700,9843.5,9712.5,9980.5,9971.5,9700,24550.75,-449.25
2,9800,9838.0,9737.5,9990.5,9972.5,9800,24579.75,-420.25
2,9900,9818.5,9721.0,9985.5,9975.5,9900,24537.25,-462.75
2,10000,9792.0,9660.5,9998.5,9980.5,10000,24460.75,-539.25
2,10100,9781.5,9642.5,9984.5,9974.5,10100,24421.25,-578.75
2,10200,9785.0,9638.5,9983.0,9974.0,10200,24419.5,-580.5
2,10300,9789.5,9609.0,9983.5,9976.5,10300,24393.75,-606.25
2,10400,9794.5,9626.5,9990.5,9974.5,10400,24424.25,-575.75
2,10500,9817.5,9604.0,9993.5,9975.5,10500,24427.25,-572.75
2,10600,9805.5,9580.0,9989.5,9972.5,10600,24388.75,-611.25
2,10700,9788.0,9560.0,9986.5,9982.5,10700,24343.25,-656.75
2,10800,9797.5,9530.0,9993.5,9976.5,10800,24332.75,-667.25
2,10900,9809.5,9555.5,9984.5,9977.5,10900,24360.75,-639.25
2,11000,9814.5,9494.0,9979.5,9979.5,11000,24298.25,-701.75
2,11100,9816.0,9486.0,9993.5,9981.5,11100,24304.75,-695.25
2,11200,9796.5,9476.0,9992.5,9983.5,11200,24273.25,-726.75
2,11300,9793.5,9512.5,9980.5,9976.5,11300,24298.25,-701.75
2,11400,9780.5,9488.5,9977.5,9988.5,11400,24252.25,-747.75
2,11500,9771.5,9516.0,9973.5,9982.0,11500,24270.0,-730.0
2,11600,9764.5,9523.5,9979.5,9985.5,11600,24274.75,-725.25
2,11700,9764.0,9532.5,9994.5,9984.5,11700,24298.75,-701.25
2,11800,9769.5,9540.0,9987.5,9991.5,11800,24301.25,-698.75
2,11900,9773.0,9560.5,9994.5,9999.5,11900,24328.25,-671.75
2,12000,9774.5,9566.0,9992.5,9990.5,12000,24337.75,-662.25
2,12100,9777.5,9507.5,10001.5,9986.5,12100,24293.25,-706.75
2,12200,9758.5,9494.5,10008.5,9989.5,12200,24266.75,-733.25
2,12300,9756.5,9553.5,10020.5,9995.5,12300,24332.75,-667.25
2,12400,9759.5,9609.5,10016.5,9994.5,12400,24388.25,-611.75
2,12500,9742.5,9638.5,10010.5,9994.5,12500,24394.25,-605.75
2,12600,9749.0,9673.5,10017.5,9997.5,12600,24441.25,-558.75
2,12700,9760.0,9665.0,10020.5,9993.5,12700,24448.75,-551.25
2,12800,9763.5,9661.0,10023.5,9992.5,12800,24451.75,-548.25
2,12900,9757.5,9650.0,10021.5,9993.5,12900,24432.25,-567.75
2,13000,9750.5,9619.0,10026.5,9991.5,13000,24400.25,-599.75
2,13100,9729.5,9634.5,10024.0,9985.5,13100,24395.25,-604.75
2,13200,9722.5,9619.5,10036.5,9991.5,13200,24382.75,-617.25
2,13300,9731.0,9578.5,10025.5,9995.5,13300,24337.25,-662.75
2,13400,9733.0,9650.5,10025.5,9988.5,13400,24414.75,-585.25
2,13500,9733.5,9660.5,10030.5,9992.5,13500,24428.25,-571.75
2,13600,9739.0,9685.0,10031.5,9981.5,13600,24464.75,-535.25
2,13700,9759.5,9664.5,10033.0,9984.5,13700,24464.75,-535.25
2,13800,9763.0,9617.5,10025.5,9984.5,13800,24413.75,-586.25
2,13900,9756.5,9655.5,10027.5,9985.5,13900,24446.75,-553.25
2,14000,9750.5,9637.5,10027.5,9987.5,14000,24421.75,-578.25
2,14100,9750.5,9627.0,10031.5,9993.5,14100,24412.25,-587.75
2,14200,9743.0,9599.0,10035.5,9995.5,14200,24379.75,-620.25
2,14300,9741.0,9625.0,10039.5,10001.5,14300,24404.75,-595.25
2,14400,9747.5,9630.5,10037.5,9996.5,14400,24417.25,-582.75
2,14500,9742.5,9623.5,10029.5,10000.5,14500,24395.25,-604.75
2,14600,9755.0,9613.0,10029.5,9988.5,14600,24403.25,-596.75
2,14700,9755.0,9598.5,10028.5,9982.5,14700,24390.75,-609.25
2,14800,9756.5,9541.0,10026.5,9974.5,14800,24336.75,-663.25
2,14900,9759.5,9563.0,10034.5,9973.5,14900,24370.25,-629.75
2,15000,9757.5,9551.5,10040.5,9979.5,15000,24359.75,-640.25
2,15100,9757.5,9540.0,10030.5,9978.5,15100,24338.75,-661.25
2,15200,9755.5,9523.0,10023.5,9975.5,15200,24314.25,-685.75
2,15300,9754.5,9504.5,10028.5,9969.5,15300,24302.75,-697.25
2,15400,9735.5,9502.0,10021.5,9963.5,15400,24277.25,-722.75
2,15500,9716.5,9522.5,10021.5,9965.5,15500,24277.75,-722.25
2,15600,9712.0,9551.5,10023.5,9959.5,15600,24307.25,-692.75
2,15700,9713.0,9506.5,10036.5,9965.5,15700,24273.25,-726.75
2,15800,9690.5,9485.0,10028.5,9965.5,15800,24221.25,-778.75
2,15900,9698.5,9452.0,10033.5,9965.5,15900,24201.25,-798.75
2,16000,9702.5,9449.0,10016.5,9978.5,16000,24178.75,-821.25
2,16100,9708.5,9417.0,10027.5,9976.5,16100,24164.75,-835.25
2,16200,9720.5,9458.0,10033.5,9984.5,16200,24219.75,-780.25
2,16300,9711.0,9420.0,10034.5,9981.5,16300,24174.75,-825.25
2,16400,9707.5,9415.0,10026.5,9978.5,16400,24159.75,-840.25
2,16500,9731.5,9490.0,10029.5,9973.5,16500,24264.25,-735.75
2,16600,9754.5,9465.0,10037.5,9982.5,16600,24265.75,-734.25
2,16700,9762.5,9445.5,10034.5,9969.0,16700,24258.0,-742.0
2,16800,9774.0,9431.5,10050.5,9970.5,16800,24270.75,-729.25
2,16900,9779.5,9417.0,10037.5,9973.5,16900,24247.25,-752.75
2,17000,9776.0,9425.5,10047.5,9980.5,17000,24258.75,-741.25
2,17100,9797.5,9407.0,10040.5,9990.5,17100,24249.75,-750.25
2,17200,9786.5,9413.5,10047.0,9988.5,17200,24252.75,-747.25
2,17300,9794.5,9428.0,10047.0,9990.5,17300,24274.25,-725.75
2,17400,9763.5,9443.0,10034.5,9993.5,17400,24244.25,-755.75
2,17500,9785.0,9431.0,10035.5,9999.5,17500,24251.75,-748.25
2,17600,9777.5,9405.0,10039.5,9993.5,17600,24225.25,-774.75
2,17700,9785.5,9377.0,10035.5,10002.5,17700,24196.75,-803.25
2,17800,9777.5,9443.5,10034.5,10002.5,17800,24254.25,-745.75
2,17900,9790.0,9362.5,10042.5,10000.5,17900,24194.75,-805.25
2,18000,9784.5,9322.0,10052.5,9997.5,18000,24160.25,-839.75
2,18100,9773.0,9309.0,10046.5,9992.5,18100,24132.25,-867.75
2,18200,9764.5,9277.0,10062.5,9987.5,18200,24110.25,-889.75
2,18300,9760.5,9300.0,10073.5,9983.5,18300,24142.25,-857.75
2,18400,9766.5,9299.0,10080.0,9988.5,18400,24151.25,-848.75
2,18500,9751.5,9313.0,10073.5,9988.5,18500,24143.75,-856.25
2,18600,9745.5,9318.0,10070.5,9986.0,18600,24141.0,-859.0
2,18700,9733.5,9355.0,10076.5,9983.5,18700,24173.25,-826.75
2,18800,9735.0,9386.0,10079.5,9986.5,18800,24207.25,-792.75
2,18900,9753.5,9347.5,10075.5,9992.0,18900,24180.5,-819.5
2,19000,9748.5,9319.0,10065.5,9995.5,19000,24135.25,-864.75
2,19100,9758.5,9368.0,10075.5,9995.5,19100,24204.25,-795.75
2,19200,9749.5,9374.0,10072.5,9985.5,19200,24203.25,-796.75
2,19300,9750.5,9373.5,10078.5,9988.5,19300,24208.25,-791.75
