timestamp,portfolio_pnl,pebbles_pnl,polyunit_pnl,portfolio_drawdown
0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0.0
1300,0.0,0.0,0.0,0.0
1400,0.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,0.0
1600,0.0,0.0,0.0,0.0
1700,0.0,0.0,0.0,0.0
1800,810.0,0.0,810.0,0.0
1900,516.0,0.0,516.0,294.0
2000,380.0,0.0,380.0,430.0
2100,298.0,0.0,298.0,512.0
2200,444.0,0.0,444.0,366.0
2300,296.0,0.0,296.0,514.0
2400,170.0,0.0,170.0,640.0
2500,-120.0,0.0,-120.0,930.0
2600,-84.0,0.0,-84.0,894.0
2700,-688.0,0.0,-688.0,1498.0
2800,-1246.0,0.0,-1246.0,2056.0
2900,-1074.0,0.0,-1074.0,1884.0
3000,-1596.0,0.0,-1596.0,2406.0
3100,-1930.0,0.0,-1930.0,2740.0
3200,-1712.0,0.0,-1712.0,2522.0
3300,-2192.0,0.0,-2192.0,3002.0
3400,-2046.0,0.0,-2046.0,2856.0
3500,-2130.0,0.0,-2130.0,2940.0
3600,-1958.0,0.0,-1958.0,2768.0
3700,-2214.0,0.0,-2214.0,3024.0
3800,-2284.0,0.0,-2284.0,3094.0
3900,-2462.0,0.0,-2462.0,3272.0
4000,-2212.0,0.0,-2212.0,3022.0
4100,-2636.0,0.0,-2636.0,3446.0
4200,-2492.0,0.0,-2492.0,3302.0
4300,-2650.0,0.0,-2650.0,3460.0
4400,-2886.0,0.0,-2886.0,3696.0
4500,-2632.0,0.0,-2632.0,3442.0
4600,-2641.5,82.5,-2724.0,3451.5
4700,-2366.0,84.0,-2450.0,3176.0
4800,-2530.0,84.0,-2614.0,3340.0
4900,-2358.5,85.5,-2444.0,3168.5
5000,-2150.5,85.5,-2236.0,2960.5
5100,-2488.5,85.5,-2574.0,3298.5
5200,-3091.5,82.5,-3174.0,3901.5
5300,-3105.5,82.5,-3188.0,3915.5
5400,-2279.0,87.0,-2366.0,3089.0
5500,-1816.0,84.0,-1900.0,2626.0
5600,-1905.5,82.5,-1988.0,2715.5
5700,-1809.5,82.5,-1892.0,2619.5
5800,-2060.5,84.0,-2144.5,2870.5
5900,-1836.5,84.0,-1920.5,2646.5
6000,-1568.5,84.0,-1652.5,2378.5
6100,-1452.5,84.0,-1536.5,2262.5
6200,-1329.5,82.5,-1412.0,2139.5
6300,-1170.0,138.0,-1308.0,1980.0
6400,-1349.5,87.0,-1436.5,2159.5
6500,-1000.0,82.5,-1082.5,1810.0
6600,-1023.5,82.5,-1106.0,1833.5
6700,-762.0,85.5,-847.5,1572.0
6800,-505.5,84.0,-589.5,1315.5
6900,-565.5,82.5,-648.0,1375.5
7000,-1028.0,84.0,-1112.0,1838.0
7100,-1261.5,82.5,-1344.0,2071.5
7200,-1128.0,84.0,-1212.0,1938.0
7300,-1250.5,85.5,-1336.0,2060.5
7400,-987.5,82.5,-1070.0,1797.5
7500,-591.0,87.0,-678.0,1401.0
