product,halflife,threshold,final_pnl,sharpe
VELVETFRUIT_EXTRACT,50,3,-368334.0,-10.571505246752643
VELVETFRUIT_EXTRACT,400,3,-114959.0,-3.1119551219560018
VELVETFRUIT_EXTRACT,100,3,-258781.0,-7.176916863667621
VELVETFRUIT_EXTRACT,200,3,-174055.0,-4.756210311810367
VELVETFRUIT_EXTRACT,1500,3,-50160.0,-1.3381550110501148
VELVETFRUIT_EXTRACT,800,3,-74957.0,-2.004177672192135
VELVETFRUIT_EXTRACT,50,6,-182009.0,-6.191870773060486
VELVETFRUIT_EXTRACT,100,6,-133954.0,-4.169551650420081
VELVETFRUIT_EXTRACT,400,6,-32489.0,-0.937289879072311
VELVETFRUIT_EXTRACT,1500,6,3879.0,0.10835039164110884
VELVETFRUIT_EXTRACT,200,6,-80116.0,-2.373229981623699
VELVETFRUIT_EXTRACT,800,6,-11748.0,-0.33233514333470304
VELVETFRUIT_EXTRACT,50,9,-75065.0,-3.3809221605962665
VELVETFRUIT_EXTRACT,400,9,2480.0,0.07869638880856142
VELVETFRUIT_EXTRACT,200,9,-32465.0,-1.0684624357931825
VELVETFRUIT_EXTRACT,100,9,-62427.0,-2.2713013128781436
VELVETFRUIT_EXTRACT,800,9,27342.0,0.8209273977476577
VELVETFRUIT_EXTRACT,1500,9,37807.0,1.1129520603412137
VELVETFRUIT_EXTRACT,100,12,-27830.0,-1.2201141023685977
VELVETFRUIT_EXTRACT,50,12,-18595.0,-1.3208812840619564
VELVETFRUIT_EXTRACT,200,12,-10136.0,-0.38186673437900553
VELVETFRUIT_EXTRACT,800,12,42186.0,1.3715786061001345
VELVETFRUIT_EXTRACT,400,12,18405.0,0.6354732457846219
VELVETFRUIT_EXTRACT,1500,12,48582.0,1.5161601354789493
VELVETFRUIT_EXTRACT,50,15,-707.0,-0.11954002329482911
VELVETFRUIT_EXTRACT,400,15,37530.0,1.4098597462483504
VELVETFRUIT_EXTRACT,100,15,704.0,0.04293299206693493
VELVETFRUIT_EXTRACT,200,15,12330.0,0.5461076690579935
VELVETFRUIT_EXTRACT,800,15,47604.0,1.7239560247438057
VELVETFRUIT_EXTRACT,1500,15,54152.0,1.8249233859889513
VELVETFRUIT_EXTRACT,50,20,0.0,0.0
VELVETFRUIT_EXTRACT,100,20,3869.0,0.5080282724734342
VELVETFRUIT_EXTRACT,200,20,14797.0,1.0250240919445344
VELVETFRUIT_EXTRACT,800,20,54531.0,2.339194241541323
VELVETFRUIT_EXTRACT,1500,20,66290.0,2.5250116708946324
VELVETFRUIT_EXTRACT,400,20,44559.0,2.1420077075897406
